“The hell are you?	「なんだお前は？
	今度は、オレがアンタを守る番だ」
BARRET	BARRET
“OK, playtime's over	「これ以上ヤツらの……神羅の
jackasses…”	好き勝手にはさせねえ」
AERIS	AERITH
“…Thank you, Mr. BARRET!”	「……ありがと、BARRETさん」
BARRET	BARRET
“Who you callin' Mr. BARRET?	「へヘッ、よしてくれよ。
That don't sound right!”	『BARRETさん』なんて
	オレのガラじゃねえや」
RED XIII	RED XIII
“Well then…”	「……さて」
“If you are through talking,	「キミたちの話が終わったなら
may I suggest that we think of	そろそろここから逃げ出す方法を
a way to get out of here.”	考えてみないか？」
BARRET	BARRET
“Huh? Oh, oh yeah…	「ん？あ、ああ……
You're cold, man.	チェッ、いやに冷静なやつだな。
Just like someone else 'round here I know.”	どこかの誰かさんみたいだぜ」
RED XIII	RED XIII
“Did you say something?”	「なにか？」
BARRET	BARRET
“Notta thing.	「いや、なんでもねえよ。
So what're we gonna do?”	さて、どうするか……」
TIFA	TIFA
“BARRET!!”	「BARRET！！」
BARRET	BARRET
“TIFA!	「TIFA！
Where's CLOUD?”	CLOUDは！？」
TIFA	TIFA
“Everyone! Over here!”	「みんな、こっち！」
BARRET	BARRET
“Huh?	「ええ！？
What's up?	どうしたんだよ？
Where's CLOUD?”	CLOUDは？」
TIFA	TIFA
“He's coming!	「話は後！
Hurry, Hurry!!”	いいから早く！！」
AERIS	AERITH
“Quickly! We'll	「はやく、ここから
escape this way…”	逃げなくちゃ……」
CLOUD	CLOUD
“Nope.	「反応がない……
Have to find another way up,	他のルートを
I guess…”	探さなければ……」
[the movie continues]	ムービーへ続くのだ！
[Shinra S-27]	『　神羅　　Ｓー２７式　』
[Shinra PA-86]	『　神羅　　ＰＡー８６式　』
[Shinra S-510]	『　神羅　　Ｓー５１０式　』
[Shinra SA-37]	『　神羅　　ＳＡー３７式　』
Turtle's Paradise Newsletter	【かめ道楽　通信】
No. 2	ナンバー２
“The end of another hard day. Wouldn't you	「きびしい仕事で
like to sit back with a tall cool one?	おつかれのアナタ……
You can at the Turtle's Paradise!!	ぜひいちど
Stop in today!	居酒屋『かめ道楽』へ！！
There's nothing like	仕事の後の
a smooth one after work!”	一杯は最高ですよ！」
Shinra, Inc.	神羅カンパニー
“Our slogan is:	「今週の標語
Shinra's Future Is	神羅の未来は
The World's Future!!	世界の未来！！
Mako Energy For A	魔晄の光で
Brighter World!!”	明るい世の中！！」
Until instructed, please don't open the disc holder.	指示があるまで、ディスクホルダーを開けないで下さい
“Control the bike with the [Directional buttons]	「バイクを【方向キー】で操作して
and save your friends in the truck	神羅の追撃隊から
from the Shinra pursuit troops.”	仲間の乗るトラックを守って下さい」
[OK]	○ボタン
Attack on right	右の敵を攻撃する
[SWITCH]	□ボタン
Attack on left	左の敵を攻撃する
[MENU]Menu	△ボタン　　　メニュー
[CANCEL]Form Party	×ボタン　　　パーティ編成
[START]Start Game	スタートボタン　　ゲーム開始
BARRET	BARRET
“Well, what do we do now?”	「さて、どうするよ？」
CLOUD	CLOUD
“Sephiroth is alive.	「セフィロスは生きている。
…I have to settle the score.”	俺は……あのときの決着を
	つけなくてはならない」
BARRET	BARRET
“Will that save the Planet?”	「それが星を救うことになるんだな？」
CLOUD	CLOUD
“…It seems so.”	「……おそらく、な」
BARRET	BARRET
“Then, I'm going!”	「おっし、オレは行くぜ！」
AERIS	AERITH
“I'll go, too.	「わたしも、行く。
There are things I need to know.”	……知りたいこと、あるから」
CLOUD	CLOUD
“About the Ancients?”	「古代種のことか？」
AERIS	AERITH
“…Many things.”	「……いろいろ、たくさん」
TIFA	TIFA
“I guess it's good bye, Midgar.”	「さらばミッドガル、ね」
BARRET	BARRET
“We told AERIS's mom to go	「AERITHのおふくろさんには
somewhere safe, so Marlene should be	安全な場所に移るようにって
safe, too.”	言っといたからマリンも安全だな」
Yeah, she should be	そうだな
Hmm, I don't know	さ～て、どうかな
AERIS	AERITH
“She said she didn't want to stay	「もう、ミッドガルはイヤだって
in Midgar anymore.	言ってた……ちょうど良かったかな」
…Maybe it's for the best.”	
AERIS	AERITH
“Stop it, CLOUD!	「やめてよ、CLOUD！
I'm worried, too.”	わたしだって心配なんだから」
AERIS	AERITH
“You know what?	「そういえば、わたし
This is the first time I've ever left Midgar…”	ミッドガル出るの、初めて……」
Really? Are you worried?	そうか……不安か？
It's dangerous. Are you sure you want to go?	危険だぞ、いいのか？
AERIS	AERITH
“A little…no, maybe a lot.	「ちょっと、う～ん、かなり、かな。
But I have a bodyguard, right?”	でも、なんでも屋さんが
	いっしょだし、ね？」
AERIS	AERITH
“I thought you'd say that!”	「言うと思った！」
TIFA	TIFA
“…I guess this is the start of our journey…”	「……旅がはじまるのね」
You hate traveling?	旅はきらいか？
It's dangerous. You sure you want to go?	危険だぞ、いいのか？
TIFA	TIFA
“…I don't know.	「……どうかな。
But, I don't have anywhere else to go.	でも、もう帰るところないもの。
So I guess it doesn't really matter whether	旅が好きとかキライとか関係ないわ」
I like to travel or not.”	
TIFA	TIFA
“…Hmm.	「……う～ん。
But you know, it should be all right	でもほら、CLOUDが約束守ってくれれば
if you keep your promise.”	だいじょうぶよね、きっと」
RED XIII	RED XIII
“I'm going back to my hometown.	「私は故郷に帰るつもりだ。
I'll go with you as far as that.”	それまではいっしょに行ってやる」
CLOUD	CLOUD
“Then…”	「さて……」
Let's stay here for a while	もう少しここにいよう
Let's go!	行こうか！
BARRET	BARRET
“To the Northeast, there's a town	「ここから北東に行くと
called Kalm.”	カームって町があるんだ」
“The food at the Inn's good.	「宿屋のメシがうまくてなあ。
Why don't we head there first?”	とりあえずそこに行かねえか？」
AERIS	AERITH
“You're right.	「そうね。
I've heard about that town before.	聞きたいこと、いろいろあるしね。
CLOUD?”	CLOUD？」
BARRET	BARRET
“About Sephiroth,	「セフィロスのこと、そして星の危機……」
and about the crisis of the Planet…”	
CLOUD	CLOUD
“You're right.	「そうだな。
We need to know	セフィロスの行方の情報も
where Sephiroth went.”	必要だからな」
BARRET	BARRET
“We need a leader for our journey.	「ここから先
Course that could only be me.”	団体行動にはリーダーが必要だ。
	リーダーといえばオレしかいねえ」
TIFA	TIFA
“You think so?”	「そうかしら……」
AERIS	AERITH
“I think it should be CLOUD.”	「どう考えてもCLOUD、よね」
BARRET	BARRET
“^#$^%…alright.	「チッ…………わかったよ。
Go Northeast to a town	ここから【北東にカームって町】があるんだ。
called Kalm.	何かあったらそこを集合場所にしよう」
If something happens,	
we'll meet up there.”	
BARRET	BARRET
“'Sides, we can't have five people	「それにしたって野っ原を５人でゾロゾロ
strolling around out there.	歩くなんて危なくてしょうがねえ。
It's too dangerous.	
Let's split into two parties…”	おまえ、パーティーを２組に分けてみろ」
Access Menu with [MENU],	【メニューボタン】でメニューをひらく
Change with [CANCEL],	【キャンセルボタン】でパーティチェンジ
End with [SELECT],	【決定ボタン】で終了
AERIS	AERITH
“…That's an unexpected”	「……予想外の」
TIFA	TIFA
“…combination.”	「……組み合わせ」
TIFA	TIFA
“Well, have fun…boys.”	「まあ、男同士、楽しくやりなさい」
TIFA	TIFA
“We'll see you at Kalm!”	「それじゃあ、カームで！」
BARRET	BARRET
“…Thought you'd do that.”	「……やると思ったぜ」
BARRET	BARRET
“Later, at Kalm!”	「じゃあ、カームでな！」
	
“That's funny…I dropped the key	「おっかしいな？このゲートのカギ……
to this gate…somewhere.	どこかに落としたかな？
Must've been on that	この前のハックツ・ツアーの最中かな？」
excavation tour.”	
