やろう	野郎	n, pn	guy, fellow, chap, buddy,bastard, asshole, arsehole, son of a bitch	No way!!	ケッ……！！あの野郎が金ももらわねえでいなくなるわけねえだろ！！
こんご	今後	n-adv, n-t	from now on, hereafter	It is expected that AVALANCHE will continue its reign of terror.	声明によるとアバランチは今後も同様のテロを続けることを予告しております
どうよう	同様	adj-no, adj-na, n	identical, equal to, same (kind), like, similarity	It is expected that AVALANCHE will continue its reign of terror.	声明によるとアバランチは今後も同様のテロを続けることを予告しております
よこく	予告	n, vs	advance notice, previous note, preliminary announcement	It is expected that AVALANCHE will continue its reign of terror.	声明によるとアバランチは今後も同様のテロを続けることを予告しております
しみん	市民	n	citizen, citizenry, public,city inhabitant, townspeople,bourgeoisie, middle class	But citizens of Midgar, there is no need to fear.	しかし、ミッドガル市民のみなさん安心して下さい
みなさん	皆さん	n	all, everyone, everybody	But citizens of Midgar, there is no need to fear.	しかし、ミッドガル市民のみなさん安心して下さい
あんしん	安心	adj-na, n, vs	relief, peace of mind	But citizens of Midgar, there is no need to fear.	しかし、ミッドガル市民のみなさん安心して下さい
われわれ	我々	pn	we	I have immediately mobilized SOLDIER to protect our citizenry against this senseless violence. Thank you and good night.	我々神羅カンパニーはこのような暴力からみなさんを守るためにソルジャーの投入を決定しました。これで……
ぼうりょく	暴力	n	violence, mayhem	I have immediately mobilized SOLDIER to protect our citizenry against this senseless violence. Thank you and good night.	我々神羅カンパニーはこのような暴力からみなさんを守るためにソルジャーの投入を決定しました。これで……
まもる	守る	v5r, vt	to protect, to guard, to defend,to keep (i.e. a promise), to abide (by the rules), to observe, to obey, to follow	I have immediately mobilized SOLDIER to protect our citizenry against this senseless violence. Thank you and good night.	我々神羅カンパニーはこのような暴力からみなさんを守るためにソルジャーの投入を決定しました。これで……
とうにゅう	投入	n, vs	throwing into, inserting, depositing,investment, putting in (personnel, etc.),release of a product,making (an electrical circuit)	I have immediately mobilized SOLDIER to protect our citizenry against this senseless violence. Thank you and good night.	我々神羅カンパニーはこのような暴力からみなさんを守るためにソルジャーの投入を決定しました。これで……
ほうる	放る	v5r, vt	to throw, to fling, to hurl, to toss,to neglect, to abandon, to leave alone, to give up on, to leave undone, to leave unfinished	Shucks!! …money…	チッ！！……………ほ、報酬かよ…
あやまる	誤る	v5r, vi	to make a mistake, to err,to mislead, to misguide	Straighten things up with everyone for me.	みんなには、あやまっておくね
セーブポイント		n	save point	Save Point	【セーブポイント】
メニュー		n	menu,schedule, program, programme,(computer) menu	Access the menu and select [SAVE] to save your game.	メニューを開いて　セーブ　を選ぶとゲームの状態を保存できます。
ひらく	開く	v5k, vi	to open, to undo, to unseal, to unpack,to bloom, to unfold, to spread out,to open (for business, e.g. in the morning),to be wide (gap, etc.), to widen,to hold (meeting, etc.), to give, to open,to found (nation, dynasty, sect, etc.), to open (a new business), to set up, to establish, to start,to open (ports, borders, etc.),to open (an account),to open up (new land, path, etc.), to clear, to develop,to open (a file, etc.),to extract (root), to reduce (equation),to cut open (fish),to change (kanji into hiragana),to flare (e.g. skirt),to slacken (into a poor posture)	Access the menu and select [SAVE] to save your game.	メニューを開いて　セーブ　を選ぶとゲームの状態を保存できます。
セーブ		n, vs	save,checking, curbing, suppressing, restraining, controlling, being economical	Access the menu and select [SAVE] to save your game.	メニューを開いて　セーブ　を選ぶとゲームの状態を保存できます。
えらぶ	選ぶ	v5b, vt	to choose, to select	Access the menu and select [SAVE] to save your game.	メニューを開いて　セーブ　を選ぶとゲームの状態を保存できます。
ゲーム		n	game	Access the menu and select [SAVE] to save your game.	メニューを開いて　セーブ　を選ぶとゲームの状態を保存できます。
ほぞん	保存	n, vs	preservation, conservation, storage, maintenance,saving (e.g. to disk)	Access the menu and select [SAVE] to save your game.	メニューを開いて　セーブ　を選ぶとゲームの状態を保存できます。
おねがい	お願い	int	request, wish,please	Listen, CLOUD. I'm asking you. Please join us.	CLOUD、おねがい。力をかして
かす	貸す	v5s, vt	to lend, to loan,to rent out, to hire out	Listen, CLOUD. I'm asking you. Please join us.	CLOUD、おねがい。力をかして
やむ	病む	v5m, vi, vt	to fall ill, to suffer from, to have something wrong with	The Planet is dying. Slowly but surely, it's dying.	星が病んでるの。このままじゃ死んじゃう
なんとか	何とか	adv	something, something or other, so-and-so,somehow, anyhow, one way or another	Someone has to do something.	誰かがなんとかしなくちゃならないの
なんと	何と	adv	what, how, whatever	So let BARRET and his buddies do something about it. It's got nothin' to do with me.	BARRETたちがなんとかするんだろ？俺には関係ないさ
かする	科する	vs-s	to inflict, to impose (a fine, etc.)	So let BARRET and his buddies do something about it. It's got nothin' to do with me.	BARRETたちがなんとかするんだろ？俺には関係ないさ
はっぴょう	発表	n, vs	announcement, publication, presenting, statement, communique, making known, breaking (news story), expressing (one's opinion), releasing, unveiling	The president of Shinra is going to read a statement.	プレジデント神羅の発表がニュースで読まれるの
よむ	読む	v5m, vt	to read,to count,to guess, to predict, to read (someone's thoughts), to see (e.g. into someone's heart), to divine	The president of Shinra is going to read a statement.	プレジデント神羅の発表がニュースで読まれるの
きらい	嫌い	n	disliked, hated, disagreeable,tendency, smack (of), touch (of),distinction, discrimination	But I still hate BARRET	でも、BARRETがきらい-
はなす	話す	v5s, vt	to talk, to speak, to converse, to chat,to tell, to explain, to narrate, to mention, to describe, to discuss,to speak (a language)	Don't worry. I'll talk to him.	だいじょうぶ。私からちゃんと話しておくから
いみ	意味	n, vs	meaning, significance, sense	I don't know what you mean.	それどういう意味かしら
てれる	照れる	v1, vi	to be shy, to be bashful, to feel awkward, to feel embarrassed	Sorry, CLOUD. Marlene seems a little shy.	CLOUD、ごめんね。マリン、てれちゃってるみたい-
さかずき	杯	n	sake cup, cup for alcoholic beverages	Aaah!! Nothin' like that first drink after a job.	ああ～！！仕事の後の一杯はこたえらんねぇなぁ
こたえる	応える	v1, vi	to respond, to answer, to meet (e.g. demands, expectations),to affect, to take a toll, to strike home, to have an effect on, to be hard on someone (e.g. heat, cold, work, illness, etc.), to be a strain	Aaah!! Nothin' like that first drink after a job.	ああ～！！仕事の後の一杯はこたえらんねぇなぁ
らん	欄	n, n-suf	column of text (e.g. in a newspaper),field (in a form, web page, etc.)	Aaah!! Nothin' like that first drink after a job.	ああ～！！仕事の後の一杯はこたえらんねぇなぁ
こころがけ	心がけ	n	(mental) attitude, way of thinking, attention, care, prudence, intention	Oh!! That's more like it!!	おっ！！いい心がけじゃねぇか！！
こく	放く	v5k, vt	to let loose (e.g. a fart),to utter (e.g. a lie),to do	Even if you were with SOLDIER, you're still a rookie here. So you'd better listen to whatever I tell ya!	元ソルジャーでもここじゃおめえも新人だ。新人にとっちゃ先輩の言うことは絶対だからな！
しんじん	新人	n, adj-no	new face, newcomer, rookie, fresh recruit,modern humans (from Cro-Magnon man onwards)	Even if you were with SOLDIER, you're still a rookie here. So you'd better listen to whatever I tell ya!	元ソルジャーでもここじゃおめえも新人だ。新人にとっちゃ先輩の言うことは絶対だからな！
せんぱい	先輩	n	senior (at work or school), superior, elder, older graduate, progenitor, old-timer	Even if you were with SOLDIER, you're still a rookie here. So you'd better listen to whatever I tell ya!	元ソルジャーでもここじゃおめえも新人だ。新人にとっちゃ先輩の言うことは絶対だからな！
ぜったい	絶対	n	absolutely, unconditionally,absolute, unconditional, unmistakable,absoluteness	Even if you were with SOLDIER, you're still a rookie here. So you'd better listen to whatever I tell ya!	元ソルジャーでもここじゃおめえも新人だ。新人にとっちゃ先輩の言うことは絶対だからな！
のめる		v5r, vi	to fall forward	What!? You tellin' me you're too good to drink with me?	なに～！！おれさまの酒がのめないってかぁ？
りょうり	料理	n, vs	cooking, cookery, cuisine,dealing with something, handling, administration, management	TIFA really knows how to cook.  Mmm…	TIFAちゃんの料理っておいしいっすねえ。パクパク……
ぱくぱく		adv, adv-to, vs	repeatedly opening and closing (one's mouth), gasping,flapping (e.g. shoe sole), gaping open and shut,heartily (eating), devouring, munching, gobbling	TIFA really knows how to cook.  Mmm…	TIFAちゃんの料理っておいしいっすねえ。パクパク……
いつも	何時も	adv, n	always, usually, every time,never	TIFA always lets me taste her cooking.	TIFAちゃんっていつも俺に、料理の味見させるっすよ
あじみ	味見	n, vs	tasting, sampling	TIFA always lets me taste her cooking.	TIFAちゃんっていつも俺に、料理の味見させるっすよ
ひょうばん	評判	n, adj-no	fame, reputation, popularity,rumour (rumor), talk	Don't know whether I should be happy or sad. But it's the good food and drinks that make this shop famous.	うれしいやら、悲しいやら。おいしい料理とお酒が評判でお店ははんじょうしてるんですけどね
はんじる	判じる	v1, vt	to judge, to decide,to solve, to decipher, to puzzle out, to interpret,to divine, to guess, to make out	Don't know whether I should be happy or sad. But it's the good food and drinks that make this shop famous.	うれしいやら、悲しいやら。おいしい料理とお酒が評判でお店ははんじょうしてるんですけどね
ドキドキ		vs	thump-thump, bang-bang, pit-a-pat, pitapat, pitter-patter,to beat fast (of one's heart), to throb, to pound, to palpitate	Hey Wedge, you're getting all excited.	う♥か♥つ♥……なんだか、ドキドキしてる
なぜ	何故	adv	why, how	Stop making such a mess!	なぜなの…？
やけ	自棄	n, adj-no, adj-na	desperation, despair, self-abandonment	What's goin' on? It's really shakin' a lot…	どうなってる……？やけにゆれるな……
ゆれる	揺れる	v1, vi	to shake, to sway, to waver	What's goin' on? It's really shakin' a lot…	どうなってる……？やけにゆれるな……
どこ	何処	pn	where, what place,how much (long, far), what extent	TIFA? Where?	TIFA……？どこだ？
むかう	向かう	v5u, vi	to face,to go towards, to head towards	…I'm going out…	……俺はどこへ向かっている……
へそくり	臍繰り	n	secret savings, stash	Received BARRET's stash, 1500 gil!	BARRETのへそくり１５００ギル手にいれた！
きく	効く	v5k, vi	to be effective, to show effect,to do its work, to carry out its function well,to be possible to use	You're just going to walk right out ignoring your childhood friend!?	かわいい幼なじみのたのみもきかずに行っちゃうんだ！-
うむ	生む	v5m, vt	to give birth, to bear (child), to lay (eggs),to produce, to yield, to give rise to, to deliver	You're just going to walk right out ignoring your childhood friend!?	かわいい幼なじみのたのみもきかずに行っちゃうんだ！-
おもいだす	思い出す	v5s, vt	to recall, to remember, to recollect	Remember? CLOUD, it was seven years ago…	思い出して……CLOUD。あれは７年前よ……
あれ	彼	n	that (indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly),that person (used to refer to one's equals or inferiors),over there,down there (i.e. one's genitals),period, menses,hey (expression of surprise, suspicion, etc.), huh?, eh?,that (something mentioned before which is distant psychologically or in terms of time)	Remember? CLOUD, it was seven years ago…	思い出して……CLOUD。あれは７年前よ……
とし	年	n	year,age, years,past one's prime, old age	Remember? CLOUD, it was seven years ago…	思い出して……CLOUD。あれは７年前よ……
むら	村	n	village	Look, the well.	ほら、村の給水塔
きゅうすい	給水	n, vs	water supply	Look, the well.	ほら、村の給水塔
なかなか	中々	adj-no	very, considerably, easily, readily, fairly, quite, highly, rather,by no means, not readily,middle, half-way point,excellent, wonderful, very good	I thought you would never come, and I was getting a little cold.	TIFA、なかなか来なくてちょっと寒かったな
はる	春	n-adv, n-t	spring, springtime,New Year,prime (of one's life, etc.),adolescence, puberty,sexuality	Come this Spring…I'm leaving town for Midgar.	俺……春になったら村を出てミッドガルへ行くよ
おとこのこ	男の子	exp, n	boy, male child, baby boy	All the boys are leaving town.	……男の子たちってみ～んな村を出てっちゃうね
ちがう	違う	exp	to differ (from), to vary,to not be in the usual condition,to not match the correct (answer, etc.),to be different from promised,isn't it?, wasn't it?	But I'm different from them. I'm not just going to find a job.	俺はみんなとはちがう。ただ仕事をさがすだけじゃない
さがす	探す	v5s, vt	to search (for something desired, needed), to look for,to search (for something lost), to seek (a suspect in a crime)	But I'm different from them. I'm not just going to find a job.	俺はみんなとはちがう。ただ仕事をさがすだけじゃない
さいこう	最高	adj-no, adj-na, n	most, highest, maximum, uppermost, supreme,best, wonderful, finest	I'm going to be the best there is, just like Sephiroth!	セフィロスみたいな最高のソルジャーに
えいゆう	英雄	n	hero, heroine, great person,Eroica Symphony (Beethoven, 1804),Heroic Polonaise (Chopin)	Sephiroth… The Great Sephiroth?	セフィロス……英雄セフィロス、か
ねる	寝る	v1, vi	to lie down,to go to bed, to lie in bed,to sleep (lying down),to sleep (with someone, i.e. have intercourse),to lie idle	I thought about Sephiroth all the time. Even in my sleep. My mom had given up on me.	あのころの俺は、ねてもさめてもセフィロス、セフィロス……母さんもあきれていたな
かあさん	母さん	n	mother,wife	I thought about Sephiroth all the time. Even in my sleep. My mom had given up on me.	あのころの俺は、ねてもさめてもセフィロス、セフィロス……母さんもあきれていたな
あきれる	呆れる	v1, vi	to be amazed, to be shocked, to be astonished, to be astounded, to be disgusted, to be exasperated	I thought about Sephiroth all the time. Even in my sleep. My mom had given up on me.	あのころの俺は、ねてもさめてもセフィロス、セフィロス……母さんもあきれていたな
しばらく	暫く	int	for a moment, for a minute,for a while, for some time,for the time being, for now,it's been a long time, long time no see	…I probably won't be able to come back to this town for a while.	……しばらくのあいだ村にはもどれないな、きっと
かつやく	活躍	vs	activity (esp. energetic), great efforts, conspicuous service,to flourish, to participate actively, to play an active role	If you make it, will you be in the newspapers?	大活躍したら新聞にものるかな？
しんぶん	新聞	n	newspaper	If you make it, will you be in the newspapers?	大活躍したら新聞にものるかな？
ゆうめい	有名	n	famous,fame	Umm…if you get really famous and I'm ever in a bind…	あのね、CLOUDが有名になってその時、私が困ってたら……
たすけ	助け	n	assistance, help, aid, support, reinforcement	you'll come save me, all right?	CLOUD、私を助けに来てね
ピンチ		n	crisis, tough spot, predicament, pinch,clothespin	If I'm ever in trouble, my hero will come and rescue me.	私がピンチのときにヒーローがあらわれて助けてくれるの
ヒーロー		n	hero	If I'm ever in trouble, my hero will come and rescue me.	私がピンチのときにヒーローがあらわれて助けてくれるの
あらわれる	現れる	v1, vi	to appear, to come in sight, to become visible, to come out, to embody, to materialize, to materialise,to be expressed (e.g. emotions), to become apparent (e.g. trends, effects)	If I'm ever in trouble, my hero will come and rescue me.	私がピンチのときにヒーローがあらわれて助けてくれるの
たび	度	n, n-suf, ctr	time (three times, each time, etc.), times	I want to experience that at least once.	一度くらい経験したいじゃない？
けいけん	経験	n, vs	experience	I want to experience that at least once.	一度くらい経験したいじゃない？
わらう	笑う	v5u, vi	to laugh,to smile,to sneer, to ridicule,to be dumbfounded, to be flabbergasted	You're laughing at me!	笑ったわね！
なさる	為さる	v5aru, vt	to do	Come on! Promise me!	いいじゃないのよ～！約束しなさい～！
じつげん	実現	n, vs	implementation (e.g. of a system), materialization, materialisation, realization, realisation	But you got your childhood dream, didn't you? You joined SOLDIER.	でも子供のころの夢を実現したでしょ？ちゃんとソルジャーになったんだもの
しける	時化る	v1, vi	to be stormy or choppy (sea),to go through hard times, to be broke,to be gloomy, to be glum	This is my pay? Don't make me laugh.	こんな、しけた報酬じょうだんじゃないな
ミッション		n	mission,delegation,transmission	You got the next mission lined up? I'll do it for 3000.	次のミッションはあるのか？倍額の３０００でうけてやってもいい
ばいがく	倍額	n	double amount	You got the next mission lined up? I'll do it for 3000.	次のミッションはあるのか？倍額の３０００でうけてやってもいい
うける	受ける	v1, vi	to receive, to get,to catch (e.g. a ball),to be struck by (wind, waves, sunlight, etc.),to sustain (damage), to incur (a loss), to suffer (an injury), to feel (influence),to undergo (e.g. surgery), to take (a test), to accept (a challenge),to be given (e.g. life, talent),to find funny, to find humorous, to be amused (by),to follow, to succeed, to be descended from,to face (south, etc.),to be modified by,to obtain (a pawned item, etc.) by paying a fee,to be well-received, to become popular, to go down well	You got the next mission lined up? I'll do it for 3000.	次のミッションはあるのか？倍額の３０００でうけてやってもいい
ひとで	海星	n	starfish, sea star, asteroid, [object Object],northern Pacific seastar (Asterias amurensis)	…psst…. (We're really hurting for help, right?)	ヒソヒソ……（人手に困ってるってのが本音でしょ？）
ほんね	本音	n	real intention, motive, true opinion, what one really thinks	…psst…. (We're really hurting for help, right?)	ヒソヒソ……（人手に困ってるってのが本音でしょ？）
がくひ	学費	n	tuition, school expenses	Uh….ugh…. (That money's for Marlene's schoolin'….)	う……ぐぅ……（残りのへそくりはマリンの学費だぞ……）
ひょうてき	標的	n	target	Our target's the Sector 5 Reactor. Head for the station first.	標的は【五番魔晄炉】だ。まず、駅へ行く
まず	先ず	adv	first (of all), to start with, about, almost, anyway, well, now,hardly (with neg. verb)	Our target's the Sector 5 Reactor. Head for the station first.	標的は【五番魔晄炉】だ。まず、駅へ行く
ぶき	武器	n	weapon, arms, ordnance,weapon (something used to gain an advantage), asset	Got a message from the old man at the weapon shop upstairs! Said he's got somethin' special so come and get it!	武器屋２階のオヤジからの伝言だ！いいもんあげるからとりにこい……たしかに伝えたぞ！
や	屋	n	(something) shop,somebody who sells (something) or works as (something),somebody with a (certain) personality trait,house,roof	Got a message from the old man at the weapon shop upstairs! Said he's got somethin' special so come and get it!	武器屋２階のオヤジからの伝言だ！いいもんあげるからとりにこい……たしかに伝えたぞ！
かい	階	ctr	storey, story, floor,stairs,stage (in chronostratigraphy),counter for storeys and floors of a building	Got a message from the old man at the weapon shop upstairs! Said he's got somethin' special so come and get it!	武器屋２階のオヤジからの伝言だ！いいもんあげるからとりにこい……たしかに伝えたぞ！
おやじ	親字	n	first character (of a dictionary entry)	Got a message from the old man at the weapon shop upstairs! Said he's got somethin' special so come and get it!	武器屋２階のオヤジからの伝言だ！いいもんあげるからとりにこい……たしかに伝えたぞ！
でんごん	伝言	n, vs	verbal message, word (from someone)	Got a message from the old man at the weapon shop upstairs! Said he's got somethin' special so come and get it!	武器屋２階のオヤジからの伝言だ！いいもんあげるからとりにこい……たしかに伝えたぞ！
にわとり	鶏	n	(domestic) chicken,chicken (meat)	Got a message from the old man at the weapon shop upstairs! Said he's got somethin' special so come and get it!	武器屋２階のオヤジからの伝言だ！いいもんあげるからとりにこい……たしかに伝えたぞ！
つたえる	伝える	v1, vt	to convey, to report, to transmit, to communicate, to tell, to impart, to propagate, to teach, to bequeath	Got a message from the old man at the weapon shop upstairs! Said he's got somethin' special so come and get it!	武器屋２階のオヤジからの伝言だ！いいもんあげるからとりにこい……たしかに伝えたぞ！
じつは	実は	exp, adv	as a matter of fact, by the way, to tell you the truth, to be honest, frankly	I, uh… I don't really know how to use Materia!	じつはな……オレはマテリアの使い方をよくしらねえ！
つかいかた	使い方	n	way to use something, treatment, management (of help)	I, uh… I don't really know how to use Materia!	じつはな……オレはマテリアの使い方をよくしらねえ！
ひろう	疲労	n, vs	fatigue, weariness	I'll give you that Materia we found. Just teach me how to use it!	ひろったマテリアはおまえにくれてやる。だから、教えろ！
ひみつ	秘密	n	secret, secrecy, confidentiality, privacy,mystery,secret (e.g. to success),esoteric teachings	So this is what makes them guys in SOLDIER so great, huh!?	ソルジャーさんたちの秘密ってわけか
かんり	管理	n, vs	control, management (e.g. of a business)	Ok. I'll ask Jessie again later. But you're in charge of the Materia!	まあ、いいだろう。あとで、ジェシーにでも聞いておくからな。だがな、マテリアはおまえが管理しろ！
それほど	それ程	adv	to that degree, to that extent, that much	&$*#! What's this, It wasn't that tough!' crap?	ケッ！　なにが……『それほど、むずかしくはないだろう』だ！
おじさん	伯父さん	n	uncle,old man, mister,manybar goatfish (Parupeneus multifasciatus)	CLOUD! I got a message from the Weapon Shop man upstairs.	CLOUD！武器屋２階のおじさんから伝言よ
つけ	付け	n	bill, bill of sale, payment invoice,tab (for later payment), credit,contact move (in go), direct attack to an enemy stone,sound effect produced by striking with clappers a wooden board in kabuki,letter,reason, motive, pretext,one's fortune, one's luck	Sector 7 Item Store	マテリアの付け替えができるようになります。
かえ	替え	n	change, alteration, substitute, spare, proxy,rate of exchange	Sector 7 Item Store	マテリアの付け替えができるようになります。
どうぐ	道具	n	tool, implement, instrument, utensil, apparatus, device,means,furniture	Ahh… Another slow day…	７番街・道具屋
もうこ	猛虎	n	fierce tiger, ferocious tiger,Hanshin Tigers (baseball team)	Can't sell any really good medicine in a slum like this.	もうこの店もダメかのう…
まとも	真面	adj-na, n	the front,honesty, uprightness, directness,decency, normality	Oh!! Look at this! This doesn't happen everyday. Are you…a customer?	こんなスラムじゃまともなクスリは売れんなあ
うれる	売れる	v1, vi	to sell (well),to be well known, to be popular, to be famous	Oh!! Look at this! This doesn't happen everyday. Are you…a customer?	こんなスラムじゃまともなクスリは売れんなあ
まさか	真逆	adv, adj-no	by no means, never!, well, I never!, you don't say!, certainly (not),something unexpected, emergency,currently, for the time being, presently, for now,indeed, really, truly, unexpectedly	Yes!! Welcome!! We sell! We buy!	おっ！！こりゃこりゃ！こりゃ、めずらしい。あんた、まさか客かね？
きゃく	客	n	guest, visitor,customer, client, shopper, spectator, audience, tourist, sightseer, passenger	Yes!! Welcome!! We sell! We buy!	おっ！！こりゃこりゃ！こりゃ、めずらしい。あんた、まさか客かね？
あむ	編む	v5m, vt	to knit, to plait, to braid,to compile (anthology, dictionary, etc.), to edit	He, HEY! Waitaminit you!!	ところで、あんた。もしかして……
しつれい	失礼	vs	discourtesy, impoliteness,excuse me, goodbye,to leave,to be rude	Might be unhealthy fer ya, if ya know what I mean.	失礼、失礼」
そうぞう	想像	n, vs, adj-no	imagination, guess	Yep, that's me	買わねえとどんなめにあうか……想像してみりゃ、わかるよな
しろうと	素人	n	amateur, layman, ordinary person, novice,respectable woman (not a prostitute, hostess, geisha, etc.),unlicensed prostitute	the name's CLOUD	俺に話しかけるってことは、しろうとだな？
さいしょ	最初	adj-no, n-adv, n-t	beginning, outset, first, onset	Hmmph!! Well, I never heard of ya!	それがどうした。誰だって最初は素人だろ
よう	用	n	business, task, errand, engagement,use, purpose,for the use of ..., used for ..., made for ...,call of nature, excretion	Don't act so big, amateur. Seein' as how I'm such a warm hearted guy, I'll show ya the ropes.	俺は元ソルジャーのCLOUDだ。おまえに用などない
ふん	分	n	minute (unit of time),fun (one tenth of a monme, 5.787 grains)	You come back here tomorrow. I got some things I gots ta do.	フン！！おまえの名前なんて聞いてねぇよ
くせ	癖	n	habit (often a bad habit, i.e. vice), tendency,peculiarity, idiosyncrasy, mannerism,crease, wrinkle, curl, kink	Heh heh…He'll forget about it. OH, you!!	素人のくせにいばるんじゃねぇ。親切な俺様がこんせつていねいに教えてやるぜ！
しんせつ	親切	adj-na, n	kind, gentle, considerate, generous, friendly, nice	Heh heh…He'll forget about it. OH, you!!	素人のくせにいばるんじゃねぇ。親切な俺様がこんせつていねいに教えてやるぜ！
こむ	込む	aux-v	to be crowded, to be packed,to be complex,to go into, to put into, to remain (seated), to be plunged into (silence), to do thoroughly,to do intently,to continue in the same state	Heh heh…He'll forget about it. OH, you!!	素人のくせにいばるんじゃねぇ。親切な俺様がこんせつていねいに教えてやるぜ！
ていねい	丁寧	adj-na, n	polite, courteous, civil,careful, close, thorough, conscientious	Heh heh…He'll forget about it. OH, you!!	素人のくせにいばるんじゃねぇ。親切な俺様がこんせつていねいに教えてやるぜ！
あさ	朝	n-adv, n-t	morning	Get my friend on the second floor to teach ya.	明日の朝に顔あらってでなおしてきな。俺様だって準備が必要だからな
あらう	洗う	v5u, vt	to wash, to cleanse, to rinse,to inquire into, to investigate,to purify (one's heart),to lave (e.g. shore), to wash over (e.g. deck), to sweep	Get my friend on the second floor to teach ya.	明日の朝に顔あらってでなおしてきな。俺様だって準備が必要だからな
でなおす	出直す	v5s, vi	to make a fresh start, to turn over a new leaf,to call again, to visit again, to come again	Get my friend on the second floor to teach ya.	明日の朝に顔あらってでなおしてきな。俺様だって準備が必要だからな
じゅんび	準備	n, vs	preparation, setup, arrangements, provision, reserve	Get my friend on the second floor to teach ya.	明日の朝に顔あらってでなおしてきな。俺様だって準備が必要だからな
ひつよう	必要	n	necessary, needed, essential, indispensable,necessity, need, requirement	Get my friend on the second floor to teach ya.	明日の朝に顔あらってでなおしてきな。俺様だって準備が必要だからな
ばん	晩	ctr	evening,counter for nights	Crap!! Watch it, you old guy!	てへへ…一晩じゃ、おぼえきれんぜ。おう！素人！！悪いが、二階のあいぼうから教わってくれ
きれる	切れる	aux-v, v1	to break, to snap, to be cut, to split, to crack,to be injured,to wear out, to be worn out,to break, to burst, to collapse,to wear off, to stop working, to go dead,to expire (time limit, etc.), to run out, to become due,to run out (of stock, etc.), to be exhausted, to be used up, to be sold out, to be out of,to be broken off (e.g. of a relationship), to break up, to have severed ties, to be cut off, to be disconnected,to cut well, to be sharp,to be sharp-minded, to be keen, to be shrewd, to be quick-witted, to be able,to be short of, to drop under (a certain figure), to beat (e.g. a record time),to dry off,to curve, to veer,to shuffle (cards),to get angry, to snap, to blow one's top, to lose one's temper, to flip,to be able to do completely	Crap!! Watch it, you old guy!	てへへ…一晩じゃ、おぼえきれんぜ。おう！素人！！悪いが、二階のあいぼうから教わってくれ
あい	愛	n	love, affection, care,attachment, craving, desire	Crap!! Watch it, you old guy!	てへへ…一晩じゃ、おぼえきれんぜ。おう！素人！！悪いが、二階のあいぼうから教わってくれ
ぼう	棒	n	pole, rod, stick	Crap!! Watch it, you old guy!	てへへ…一晩じゃ、おぼえきれんぜ。おう！素人！！悪いが、二階のあいぼうから教わってくれ
おそわる	教わる	v5r, vi	to be taught (by), to learn from	Crap!! Watch it, you old guy!	てへへ…一晩じゃ、おぼえきれんぜ。おう！素人！！悪いが、二階のあいぼうから教わってくれ
おっさん		n	middle-aged man,Buddhist priest	I was just about to rip up that smooth little head of yours!	チッ！！　おっさん！！気をつけてくれよ！
あたま	頭	n	head,hair (on one's head),mind, brains, intellect,leader, chief, boss, captain,top, tip,beginning, start,head, person,top structural component of a kanji,pair	In the slums ya gotta take care of yourself first.	あんたのツンツン頭をブチぬいちまうとこだぜ！
ぬう	縫う	v5u, vt	to sew, to stitch,to weave one's way (e.g. through a crowd)	In the slums ya gotta take care of yourself first.	あんたのツンツン頭をブチぬいちまうとこだぜ！
がき	餓鬼	n	brat, kid, urchin, little devil,preta, hungry ghost	I been livin' like that ever since I was a kid.	スラムじゃ、自分の身は自分で守る。ガキのころから、そんな生き方さ
タフ		adj-na	tough	You wanna be tough like me? Then you gotta pick out some good weapons.	オレみたいにタフな男の子になりたかったらいかす武器を選ぶこったな
いかす	生かす	v5s, vt	to make (the best) use of, to put to good use, to leverage (skills, attributes, experience, etc.), to capitalise on (experience, etc.),to let live, to keep alive,to revive, to resuscitate, to bring back to life,to restore (a deleted passage; in proofreading)	You wanna be tough like me? Then you gotta pick out some good weapons.	オレみたいにタフな男の子になりたかったらいかす武器を選ぶこったな
こる	凝る	v5r, vi	to grow stiff,to be absorbed in, to be devoted to, to be a fanatic, to elaborate	You wanna be tough like me? Then you gotta pick out some good weapons.	オレみたいにタフな男の子になりたかったらいかす武器を選ぶこったな
そうだん	相談	n, vs	consultation, discussion, discussing, asking (somebody) for advice	Oh and uh, by the way old guy…	でな、おっさん。相談なんだが……
びん	瓶	n	bottle, jar, decanter, flagon, phial, vial	You can see this store don't have no customers… and even tough guys like me could use a buck or two…	見ての通り、この武器屋には客がいない。タフな男の子のこのオレもびんぼうってわけさ
こづかい	小遣い	n	pocket money, spending money, pin money, allowance	Ya think you could spare some cash?	というわけで……このオレに、こづかいくれないかな？
わたす	渡す	v5s, vt	to ferry across (e.g. a river), to carry across, to traverse,to lay across, to build across,to hand over, to hand in, to pass, to give, to transfer	Give him some	金渡す
しめる	締める	v1, vt	to tie, to fasten, to tighten,to wear (necktie, belt), to put on,to total, to sum,to be strict with,to economize, to economise, to cut down on,to salt, to marinate, to pickle, to make sushi adding a mixture of vinegar and salt	YESSS…	しめしめ……
あね	姉	n	older sister, elder sister	Hey old guy! I got a good-lookin' sister!!	オレの姉キは美人だぞ！！おっさん！！
びじん	美人	n	beautiful woman	Hey old guy! I got a good-lookin' sister!!	オレの姉キは美人だぞ！！おっさん！！
じょうけん	条件	n	condition, term, requirement, qualification, prerequisite	There's just one condition.	それにはひとつ条件があるぜ
