Under Junon	アンダージュノン
Limit Techniques	リミット技の使い方
Other	その他の注意
You got nothing to teach me!	もう教えることはない
CLOUD	CLOUD
“For my explanation, I'll need a Potion.”	「説明にあたって、ポーションが必要だな」
“Man, ex-SOLDIERs sure are cheap.	「せこいなあ、元ソルジャーさん。
OK, I'll GIVE you a Potion…”	そらポーションの一個くらい、さしあげますぜ」
“I don't seem to have any on me.	「俺もポーションの手持ちがないよ。
Why don't you go buy one?”	買ってきたらどうだい？」
CLOUD	CLOUD
“Thanks.	「悪いな。
I'll take that as my pay.”	報酬だと思ってもらっておく」
CLOUD	CLOUD
“I think you know the basics,	「常識なのでわかっているとは思うが
but just in case…”	念のため、言っておく」
“Do not open the CD drive or	「指示があるまで、ディスクホルダーを開けたり
change discs until instructed.”	他のものと取りかえたりするな」
“If you open the drive,	「ディスクホルダーを開けた場合
I can't guarantee anything.	後のことは保証できない。
That is all.”	以上」
“OK wise-guy, I'll ask about Materia	「物知りさん、あんたのストレス解消に
just so you can let off some stress.”	マテリアの話を聞いてあげるよ」
CLOUD	CLOUD
“You're right…”	「そうだな……」
Growth Materia	マテリアの成長
Kinds of Materia	マテリアのしゅるい
Combinations of Materia	マテリアの組み合わせ
Divisions of Materia	マテリアのぶんれつ
Number of Materia you may carry	もてるマテリアの数
The rest is a secret	あとは秘密だ
CLOUD	CLOUD
“First off, the main points.”	「単刀直入に要点からきりだそう」
“Some types of Materia, like Magic,	「マテリアの成長には
grow as you use them.”	魔法のように使える技が増えていくタイプ」
“Some, like Summon Magic,	「召喚のように一回のバトルで使える
grow from being used	回数が増えてゆくもの」
once a battle, to several times per battle.”	
“Their effectiveness changes, too.	「また、その効果が変わってゆくもの。
There are all different kinds.”	……など色々なしゅるいがある」
“Some types don't change, but	「中には、効果が変わらない物もあるが
they must grow in order to be divided.”	そういうマテリアもぶんれつさせるためには
	成長させなければならない」
“…And that's it.	「……以上だな。
Maybe that sounded too official.”	なんだか、事務的だったかな」
CLOUD	CLOUD
“Types of Materia…	「マテリアのしゅるいか…
Here goes!”	一気にいくぞ！」
“[Independent Materia]	「【独立マテリア】
enables Abilities.	つけていればアビリティが機能するマテリア。」
No linking required.”	
“[Support Materia] is used	「【支援マテリア】
with Command, Magic,	コマンドや魔法、召喚マテリアと
and Summon Materia.”	組にしてつかうマテリア。」
“You must equip them in linked slots or	連結穴にセットしないと何の意味もない。
they won't be any good.”	
“[Command Materia] lets you use	「【コマンドマテリア】
new commands.”	新しいコマンドが使えるようになる。
“There are lots of different kinds of Materia,	「いろいろなものがあって楽しめるマテリアだ。
so you'll never get bored.	中には『たたかう』が、変化するものもある。」
One called [Attack] changes itself.”	
“[Magic Materia] is easy.	「【魔法マテリア】
You can use Magic,	これはおなじみだな。魔法が使えるようになる。
and as your Level increases,	レベルアップで新しい魔法をどんどん覚えていく。」
you'll learn new Magic.”	
“[Summon Materia]	「【召喚マテリア】
let's you use Summon Magic.	召喚獣が使える。
As your Level increases,	レベルアップで１回のバトルで使える回数が増える。」
the number of times you can use	
it in a single battle increases.”	
“This's one of my favorites.”	俺もお気に入りのマテリアだ。
“And there you have it,	「……以上の５しゅるい」
the five types of Materia.”	
CLOUD	CLOUD
“There's no single way to combine Materia.	「マテリアの組み合わせ方か。
So here goes the basics.”	ひとすじなわではいかない。
	ここでは基本のおさらいといこう」
“Support Materia…	「支援マテリアの使い方……
The basic combination is	基本は【魔法】＋【全体化】の組み合わせだ」
Magic + All.”	
“The variety of magic	「魔法をレベルアップすると魔法のしゅるいが増える。」
you can cast will increase	
as your Magic Level increases.	
“When your All level increases,	「全体化をレベルアップすると
so does the number of times	１回のバトルで全体化できる回数が増える。」
you can use it in a battle.”	
That about covers it.	まあ、そんなところだ
“Huh?	「ん？
Wait a sec…”	まてよ…」
“You can change between Magic-All and Magic	「魔法などの全体化／単体の切りかえは
with [PAGEUP/PAGEDOWN].	Ｌ１／Ｒ１ボタンで可能だ。
I'll bet you've probably already done this.”	当然、使いこなしているだろうな」
“One effective combination is	「組み合わせの高度な使い方としては
Elemental + Summon Materia.”	【属性】＋【魔法／召喚】がある」
“If you equip this combination to your weapon,	「この組み合わせを武器に装備すると
you can put	魔法や召喚の【属性】を
Magic and Summon Elementals	武器にはりつけることができる」
on your weapon.”	
“For example,	「例えば、【炎】＋【属性】を剣に装備すれば
if you equip Fire + Elemental to	【炎属性の剣】ができあがるというわけだ」
your sword,	
you will end up with	
Fire Elemental Sword.”	
“I'm getting off the subject,…	「さらに、話はそれるが……
If you equip Fire + Elemental to your armor,	【炎】＋【属性】を防具に装備すれば
it will have twice	【炎のダメージ半減の防具】になる」
the resistance to fire damage.”	
“Now this is important.”	「ポイントはここだな」
“When the Elemental levels	「防具に限っては、さらにお得なことに
in your armor increase,	【属性】がレベルアップすれば
so will their effectiveness.	『半減→無効→吸収』と効果が上がるのだ」
From half damage - no damage - absorb.”	
“If you combined Elemental and Fire	「レベルアップした【属性】と【炎】を
you could develop Fire absorbing armor.”	組み合わせれば
	【炎を吸収する防具】も作れるというわけだ」
CLOUD	CLOUD
“Wait, there's more.	「さらに続けるとしよう。
Next is the Added Effect	【追加効果】の支援マテリアの使い方だ」
for Support Materia.”	
“The Added Effect Materia grafts	「【追加効果】マテリアは、組み合わせた
the effects of Compound Status	ステータス変化系のマテリアの効果を
Materia into your weapons and armor.”	武器や防具にはりつけるためのものだ」
“For example, equip	「例えば、【追加効果】＋【毒】を武器につければ
Added Effect + Poison to	『たたかう』で攻撃したときに追加効果として
your weapon and select [Attack].	【毒】のステータス異常をひきおこすことが可能だ。」
Sometimes you'll make a Poison attack.”	
Of course, it doesn't always work.	もちろん、成功しないときもあるがな
“If you don't combine	「【追加効果】のマテリアは【まどわす】や【時間】など
the Added Effect Materia	ステータス変化系のマテリアと組み合わせなければ
with Status Change Materia, like Confusion	意味がない」
or Time, you won't get any effect.”	
“To learn more about Added Effect,	「追加効果を細かく知りたければ
access the menu and check the Status.”	『メニュー』を開いて『ステータス』を
	チェックしろ」
“It's a little hard to get,	「内容はハードだが
but if you take your time,	落ちついて考えれば、だいじょうぶだ」
you'll be all right.”	
CLOUD	CLOUD
“Division…	「ぶんれつか…。
I'm pretty good at this.”	俺もこれが得意だな」
“People tell me that my personality is divided.	「俺は、よく性格がぶんれつしてるといわれる。
But I don't think so,	自分ではそのつもりはないが
but maybe it is?”	あるいは、いまもそうかもしれないな…」
“Anyhow…”	「話を元にもどそう」
“Once your Materia reaches	「マテリアは最高ＬＶにたっするとぶんれつする。」
the maximum level, it will divide.”	
“The original Materia will no longer grow.	「元のマテリアは、もうそれ以上成長しなくなる。
Once that happens,	そうなったら、後はただ使うだけだ」
all you can do is use it as it is.”	
“New Materia always starts out with zero AP,	「新たに生まれたマテリアは
so you need to raise its levels!”	ＡＰが０の状態なので
	こちらは、育てなければならない」
“Of course, once the new Materia	「もちろん、ぶんれつして生まれたマテリアも
reaches its max, it'll divide.	最高レベルにたっするとまたぶんれつする。
That's how you increase	こうしてマテリアを増やしてゆくんだな」
your Materia collection.”	
“Ha, ha…	「クックックッ……
Right now I feel like	なんだか、俺もすっかりぶんれつ気分だよ」
I'm dividing myself.”	
CLOUD	CLOUD
“Once Materia starts dividing,	「ぶんれつしてマテリアがふえはじめたら
you must be careful.”	注意が必要だ」
“There's a limit to how much Materia	「マテリアのもてる数には制限がある」
you can have.”	
“Since we're fighting	「なぜなら、俺たちは、名目上
for the life of the Planet,	星の命を守るために戦っている。
it goes against my beliefs	故に、マテリアの持ちすぎは理念に反してる」
to carry too much Materia.”	
“Either way, I don't really care	「……もちろん、これは俺の考えじゃない。
but, I'll leave it up to you.”	だれが言い出したかは想像に任せるよ」
“That's why, the amount of Materia that	「というわけで、もてるマテリアの数は２００個と
we can have is limited to 200…	俺たちが身につけている分だけだ」
only what we can equip.”	
“When you have too much Materia,	「マテリアがいっぱいの時は
you need to dispose of some.	一度マテリアを手放してからでないと
If you don't, you can't take on	ひろうこともできないし、買うこともできない」
any more.”	
“So, ditch some Materia before that happens…	「そんなときは、先にマテリアをすてる…。
Ahem…I mean,	フッ……星に帰してやってくれ」
give them back to the Planet.”	
“OK. Expert!	「上級者さん！
Enlighten us on Limit Techniques,	リミット技について
why doncha?”	演説をひとつどうぞ！」
CLOUD	CLOUD
“I don't have too much to say about that…”	「あまりないがな……」
Developing Limits	リミットの育て方
Extreme Limits	リミット究極技
That's it	こんなところだ
CLOUD	CLOUD
“There are 2 basic ways of building up	「リミット技を育てる基本は、２つ。
your Limit techniques.	まずひとつは、ひたすらリミット技を使うことだ」
First, just use them!”	
“And second is to finish off	「もうひとつは、より多くの敵にとどめをさす！
as many enemies as possible!	かんたんそうだが、意外とむずかしい」
It sounds easier than it is.”	
“Everyone knows that when you gain	「もはや常識だが、新たなレベルのリミット技を
a new Limit technique,	覚えたら、メニューでリミットレベルを
you need to select it in the menu.”	セットしなおさなければならない」
“And you know that you won't be able to use	「……まさか、わすれてないだろうな。
advanced techniques on each level	各レベルの上級技はそのレベルの基本技を
if you haven't used the basic ones.”	使っていないとあみだすことはできないからな」
“Since the type and growth	「リミット技の成長・種類には、個人差があるから
for each limit techniques	俺に言えることはこれくらいだ」
is different, that's about all I will say.”	
CLOUD	CLOUD
“A long time ago I heard extreme techniques	「昔の話だが、うわさを聞いたことがある。
exist within the Limit techniques.”	リミット技には、究極の技が存在するという」
“But, if that's true you wouldn't be able to	「だが、これはふつうの方法では
get it in any normal way.	使えるようにならない。
That's about all I know about it.”	俺の知っているのは、そこまでだ」
Received "Enemy Skill" Materia!	『てきのわざ』のマテリアを手にいれた！
You cannot take on any more Materia.	これいじょうマテリアは持てません。
Please discard some Materia.	なにかマテリアをすててください。
Junon Path	ジュノン・通路
“What is it?	「なんだい？
The elevator's out of order	いま、定期点検中なんで
for an inspection.”	エレベーターは動かせないよ」
“You know, right under us	「ちなみに……この下には
is a Submarine Dock	潜水監ドッグと海底魔晄炉が
and the Underwater Mako Reactor.”	あるんだけどね」
“Mako energy puts a lot of wear and tear	「魔晄エネルギーは機械のしょうもうが
on the machinery.”	はげしいからね」
“A lot of problems can pop up.	「あちこちガタがくるのがはやいんだ。
So it's necessary for close inspections	まめな点検と整備がかかせないのさ」
and maintenance.”	
“Hey!! Civilian!!	「こりゃ！！　一般人！！
Stay out of our training!!”	くんれんのじゃまをすな～！！」
“Go around them!	「はしっこを
And stay out of their way!!”	ちいさくなって進め～！！」
“All right!!	「うっし！！
Let's see how hard you trained!”	くんれんの成果をみせちゃれ！」
“Attention! Charge!!”	「全員、とっつげき～！！」
“He…hey!!	「こ、こりゃ～！！
That's the Underwater Reactor!!	そっちは、海底魔晄炉！！
Come back!!”	逃げんな～！！」
“Our forces are in the process of gathering	「我が友軍は～　現在【コレル魔晄炉】と～
the Huge Materia from the Corel and the	【コンドルフォート魔晄炉】の～
Fort Condor Reactors!”	ヒュージマテリア回収大作戦を実行中だ！」
“Once these two missions are completed,	「その２つのミッションが終われば
the Underwater Reactor will be	次はここの地下の海底魔晄炉が
our next target!”	大作戦の対象にな～る」
“Till then, we do nothing but train, train, train!”	「それまでは、いっしょうけんめい
	くんれん、くんれん、くんれんだ！」
Lower Junon	エルジュノン
Lower Junon	エルジュノン
“Oh! How's it going!?	「よう！　おつかれさん！
If you're looking for Junon dock,	ジュノンドックなら
it's over there!”	あっちだぜ！」
“This lift goes to the Shinra section.”	「このリフトは上の神羅カンパニー区画に
“Ever since that Black-caped murderer…	つながってんだが……」
But we can't use it	「例の黒マント男の殺人事件があったからな。
because we're all on red alert.”	いまは警戒中で自由には使えないんだ」
Lower Junon	エルジュノン
“Need a heli-taxi?	「ジュノン名物！！
Only in Junon!”	スキッフタクシーはいかが？」
“Free	「空軍のサービス事業なんで
to Air Force personnel!”	お代はいらないよ！」
Sure	タクシーよぶ
Nope	やめておく
“Roger!!	「ラジャ！！
Hey! Taxi!!”	へい！　運転手さん！！」
“Just holler when you want a ride!”	「乗りたくなったら
“But if you get airsick easily,	また声をかけてよ！」
maybe you'd better not go.”	「車に酔いやすい人は
	やめたほうがいいかもね」
“Where to?”	「お客さん、どこまでいきやしょ？」
Next sector	となり町まで
Outside Junon	ジュノンの外まで
“Right!	「では、となり町まで
The next sector it is!!”	おたっしゃで！！」
“Then outside Junon it is!	「では、町の外まで
Take care!!”	おたっしゃで！！」
Junon Dock	ジュノン港
“All right, it's time!”	「よーし、時間だっ！」
“Ten…HUT!”	「整列っ～！」
“President Rufus…has now arrived!”	「ルーファウス……様、到着よ！」
“This is it!!	「いざっ本番！！
Junon Military Reception!”	ジュノン軍隊式お見送り～！」
“Do it right! Do it with enthusiasm!	「軍人らし～く　元気よ～く
Ready…!”	さんはいっ！」
“All right!	「すわっ！
Now finish strong!!”	最後は決めるぞ！！」
“SPECIAL!!”	「スペシャ～ル！！」
“[OK]!”	「○：サークル！」
“[MENU]!”	「△：トライアングル！」
“[SWITCH]!”	「□：スクウェア！」
“[CANCEL]!”	「×：クロス！」
“Right: Right Face!”	「右：ライトターン！」
“Left: Left Face!”	「左：レフトターン！」
President's Mood Gauge	社長好感度
Rufus	ルーファウス
“Very entertaining.	「楽しませてもらった。
Keep up the good work.”	今後もがんばってくれたまえ」
Rufus	ルーファウス
“Looks like you need more practice.”	「くんれんがたりんようだな」
“With things looking this bad,	「このせいせきでは、減給もありうると
you better get ready for cutbacks.”	思ってくれたまえ」
Rufus	ルーファウス
“Well done.”	「上出来だ」
“Keep up the good work for Shinra, Inc.”	「今後も我が神羅カンパニーのため
	全力をつくしてもらいたい」
Heidegger	ハイデッカー
“Gya haa ha!!	「ガハハハハハ！！
Here's a special bonus for you!!”	特別ボーナスだぞ、おまえら！！」
“A token of the President's kindness!	「ルーファウス社長のご好意だ！
Don't forget it!”	きもに命じとけ！」
Received "Force Stealer"!	『フォースイーター』を手にいれた！
Received "HP Plus" Materia!	『ＨＰアップ』のマテリアを手にいれた！
Received "Silver Glasses"!	『銀縁メガネ』を手にいれた！
Rufus	ルーファウス
“Once the word gets out that Sephiroth's here,	「セフィロスがここに来たという
CLOUD and his friends	ウワサがひろまれば
will show up, too.”	CLOUDたちもあらわれるはずだ」
Heidegger	ハイデッカー
“We'll crush them as soon as we find them!”	「みつけしだいヒネリつぶします！」
Rufus	ルーファウス
“We can't have them get in our way.”	「邪魔をされてはかなわんからな」
Heidegger	ハイデッカー
“Leave it up to me, sir!	「おまかせ下さい！
Gya haa ha!”	ガハハハハハハ！」
Rufus	ルーファウス
“I thought I told you to stop that stupid laugh.”	「やめろと言ったはずだが……」
Heidegger	ハイデッカー
“Gya…”	「ガハ……」
“All right! Dismissed!”	「よーしっ！　解散！」
“That was close.”	「あぶなかったな」
“Heidegger's been really edgy lately.”	「ハイデッカーは
	イライラしてるからな」
“Because Hojo disappeared,	「なんでも本社の宝条が
leaving a letter of resignation.”	会社をやめると言い残して
	行方不明になったらしいんだ」
“Heidegger's been forced to take	「ハイデッカーはその捜索も
over that investigation, too.”	まかされたらしいからな」
“Hey!	「こらーっ！
I thought you were dismissed!”	解散だと言っとろうが～！」
“We got some cleaning up to do!	「あとかたづけがのこっちょる！
Hurry up!”	はよせいよ！」
RED XIII	RED XIII
“Hey, hurry.	「おい、急げ。
You're the last one.”	あとはおまえだけだ」
CLOUD	CLOUD
“How did you get here?”	「どうやって来たんだ？」
RED XIII	RED XIII
“A dolphin gave me a ride.”	「イルカに乗せてもらった」
“Priscilla remembered it	「おまえが柱をのぼったあと
after you climbed the pole.	プリシラが思いついたんだ。
But don't be mad at her.”	悪く思うな」
CLOUD	CLOUD
“We'll cross the ocean, to the new continent.”	「俺たちは新たな大陸に向け、海を渡る」
“…even if we are wearing Shinra's uniforms…”	「神羅の軍服につつまれながら……」
“Lately the economy	「最近、ルーファウス効果ってやつで
seems to be improving.	景気がよくなってね」
Must be the 'Rufus' effect.”	「運搬船はいつでもコスタ・デル・ソルに
	出航してるんだ」
“Cargo ships are always coming	「密航者もおおめに見てやるけど
and going from Costa del Sol.”	にもつ運びぐらいは手伝えよな」
“I'll forget you're being	
stowaways, if you	
help with the cargo.”	
Junon Dock	ジュノン港
“Everyday there's no ship coming in,	「船が港にない日にはいつもここで
I always come here	海に沈む太陽を見てるんだ」
to watch the sun go down.”	
“The sun disappears like it's	「大きな海原につつまれるように
being swallowed up	消えていく太陽」
by the big horizon.”	
“And somewhere out there is	「その先に広がる未知の大陸。
a big unknown continent	そして、そこにもまた港街さ」
with another port city.”	
“Twilight always gets me misty…”	「こんなたそがれ時には
	しみじみ思っちゃうわけよ」
“I'm so glad I became a seaman.”	「海の男になってよかったなあ、と」
“I haven't had a girlfriend in 18 years.	「ロマンチストのこの俺も
And I'm a romantic! …geez.”	今年で彼女いない歴１８年。
	……ふぅ」
“Well…I wouldn't have time	「あっ！　いまはウェポン騒動で
for one now anyway	それどころじゃないんだけどね」
because of Weapon…”	
