Who goes there!?	なんだ、おまえたちは！
That coveted green officer's uniform is almost in my reach.	幻のみどり色の制服……上級仕官はもうすぐ自分のものですよ
Then I'll be on the newspapers as a plain clothed First Class officer in SOLDIER…	そのあとは、私服組のソルジャークラス１ＳＴで新聞に名前をのせて……
Then make a triumphant return to my homeland!! Tons of fan letters… My future's peachy!	故郷へがいせん帰国！！ファンレターの山……自分の未来はモモ色だなあ
Received "Power Source"!	『パワーアップ』を手にいれた！
Hey! Aren't you still on duty!?	おい！おまえ、勤務中だろ！
Look, I shouldn't talk, but…	もっともオレも人のこと言えたぎりじゃねえけどな
Don't become a bad worker like me.	オレみたいな不良社員になっちまうなよ
These barracks are for soldiers. This is no place for civilians.	ここはオレたち兵士の宿舎だ。一般人がうろつく場所じゃないぞ
All the real soldiers died fighting Weapon.	ウェポン戦でまじめな兵士はみんなやられちまった
Kind of ironic that losers like me are still alive. But that's the reality of it.	オレみたいな不良社員が生き残るなんてひにくなもんだが、これが現実ってやつだ
I'm trying to be a bad soldier!!	不良社員見習いであります！！
I just can't get the hang of it! This just isn't going right!!	なれないものでおちつかんであります！うまくいかんであります！！
This is so embarassing!	まったくけしからんよ！
…and they told me I would be staying at five star hotels on these trips…	出張先はごうかホテルだって聞いてたのに…
How can you guys sleep in a place like this?	君たち、こんなところでよく眠れるねえ
Shinra Manager	まどきわ神羅課長
I only came to help transport the Sister Ray from Junon…	ジュノンの大砲シスターレイを運ぶとかで出張にきたのはいいけど……
But now the company says don't bother coming back…	本社から、もう帰ってこなくていいって……
Is this what happens to a loyal Shinra man?	ワタシのサラリーマン神羅人生はいったい……
Shinra Manager	もえつき神羅課長
Hee Haaaw…	イヒヒヒヒヒ……
If Weapon killed all the upper management… then I'll be President!!	上層部がウェポンに殺されちまえばワタシが社長に……！！
Respectable Inn	上級者の館
This is a Respectable Inn… guests only!	ここは選ばれたもののみが入ることのゆるされる上級者の館
You should absorb all the wisdom until it is a part of you.	どうぞ心ゆくまでもてる知識をひろうするがよい
OK, Mr. Know-it-all, ex-SOLDIER! Let me revenge…I mean, review!	物知り元ソルジャーさんよ！復讐……いや復習させてくれよ
What do you want to review?	なにを復習したいんだ？
That's all	もう復習は終わりだ
If you select the back row, the amount of damage you receive is reduced, but so is your attacking power.	後列にすると受けるダメージが減るが、攻撃力も減る。
[Change] can be selected from the battle menu by pushing the [left Directional button].	【チェンジ】は、戦闘コマンドを選ぶときに【方向キーの左】を押すと可能だ
It might be hard to understand this next one since you can't check it right now, but just listen.	いまは確認できないからわかりにくいかもしれんがとにかく、聞いておけ。
I'm talking about the Gauges displayed during battle.	戦闘中、いくつか表示されている【ゲージ】のことだ
You can enter a command once the Gauge is full, but if you don't want to enter a command, press [MENU] to skip to the next person.	ゲージがいっぱいになるとコマンドの入力が可能だがもし入力したくなければ、【△ボタン】で次のやつに順番をまわすこともできる。
This is good when you want to make BARRET work.	BARRETをこきつかいたい時などに便利だ
When you get Wiped Out, you can continue from your last Save Point. Your Experience points will not change.	【全滅】したときに前の【セーブポイント】からかせいだ経験値はそのままのこるという
This is the Beginner's Hall (Intermediate)!	まいどおなじみ初心者の館（復活編）だよ～ん！
Your explanations were so complicated I couldn't return to the Planet.	あんたの説明が、むずかしすぎて星に帰れなかったよ
So, I have a right to ask you again.	もういちど、たのむ権利がオレにはあるよな
OK wise-guy, I'll ask about Materia just so you can let off some stress.	物知りさん、あんたのストレス解消にマテリアの話を聞いてあげるよ
Growth Materia	マテリアの成長
Kinds of Materia	マテリアのしゅるい
Combinations of Materia	マテリアの組み合わせ
Divisions of Materia	マテリアのぶんれつ
Number of Materia you may carry	もてるマテリアの数
The rest is a secret	あとは秘密だ
First off, the main points.	単刀直入に要点からきりだそう
Some types of Materia, like Magic, grow as you use them.	マテリアの成長には魔法のように使える技が増えていくタイプ
Some, like Summon Magic, grow from being used once a battle, to several times per battle.	召喚のように一回のバトルで使える回数が増えてゆくもの
Their effectiveness changes, too. There are all different kinds.	また、その効果が変わってゆくもの。……など色々なしゅるいがある
Some types don't change, but they must grow in order to be divided.	中には、効果が変わらない物もあるがそういうマテリアもぶんれつさせるためには成長させなければならない
…And that's it. Maybe that sounded too official.	……以上だな。なんだか、事務的だったかな
Types of Materia… Here goes!	マテリアのしゅるいか…一気にいくぞ！
[Independent Materia] enables Abilities. No linking required.	【独立マテリア】つけていればアビリティが機能するマテリア。
[Support Materia] is used with Command, Magic, and Summon Materia.	【支援マテリア】コマンドや魔法、召喚マテリアと組にしてつかうマテリア。
You must equip them in linked slots or they won't be any good.	連結穴にセットしないと何の意味もない。
[Command Materia] lets you use new commands.	【コマンドマテリア】 新しいコマンドが使えるようになる。
There are lots of different kinds of Materia, so you'll never get bored. One called [Attack] changes itself.	いろいろなものがあって楽しめるマテリアだ。中には『たたかう』が、変化するものもある。
[Magic Materia] is easy. You can use Magic, and as your Level increases, you'll learn new Magic.	【魔法マテリア】これはおなじみだな。魔法が使えるようになる。レベルアップで新しい魔法をどんどん覚えていく。
[Summon Materia] let's you use Summon Magic. As your Level increases, the number of times you can use it in a single battle increases.	【召喚マテリア】召喚獣が使える。レベルアップで１回のバトルで使える回数が増える。
This's one of my favorites.	俺もお気に入りのマテリアだ。
And there you have it, the five types of Materia.	……以上の５しゅるい
There's no single way to combine Materia. So here goes the basics.	マテリアの組み合わせ方か。ひとすじなわではいかない。ここでは基本のおさらいといこう
Support Materia… The basic combination is Magic + All.	支援マテリアの使い方……基本は【魔法】＋【全体化】の組み合わせだ
The variety of magic you can cast will increase as your Magic Level increases.	魔法をレベルアップすると魔法のしゅるいが増える。
When your All level increases, so does the number of times you can use it in a battle.	全体化をレベルアップすると１回のバトルで全体化できる回数が増える。
That about covers it.	まあ、そんなところだ
Huh? Wait a sec…	ん？まてよ…
You can change between Magic-All and Magic with [PAGEUP/PAGEDOWN]. I'll bet you've probably already done this.	魔法などの全体化／単体の切りかえはＬ１／Ｒ１ボタンで可能だ。当然、使いこなしているだろうな
One effective combination is Elemental + Summon Materia.	組み合わせの高度な使い方としては【属性】＋【魔法／召喚】がある
If you equip this combination to your weapon, you can put Magic and Summon Elementals on your weapon.	この組み合わせを武器に装備すると魔法や召喚の【属性】を武器にはりつけることができる
For example, if you equip Fire + Elemental to your sword, you will end up with Fire Elemental Sword.	例えば、【炎】＋【属性】を剣に装備すれば【炎属性の剣】ができあがるというわけだ
I'm getting off the subject,… If you equip Fire + Elemental to your armor, it will have twice the resistance to fire damage.	さらに、話はそれるが……【炎】＋【属性】を防具に装備すれば【炎のダメージ半減の防具】になる
Now this is important.	ポイントはここだな
When the Elemental levels in your armor increase, so will their effectiveness. From half damage - no damage - absorb.	防具に限っては、さらにお得なことに【属性】がレベルアップすれば『半減→無効→吸収』と効果が上がるのだ
If you combined Elemental and Fire you could develop Fire absorbing armor.	レベルアップした【属性】と【炎】を組み合わせれば【炎を吸収する防具】も作れるというわけだ
Wait, there's more. Next is the Added Effect for Support Materia.	さらに続けるとしよう。【追加効果】の支援マテリアの使い方だ
The Added Effect Materia grafts the effects of Compound Status Materia into your weapons and armor.	【追加効果】マテリアは、組み合わせたステータス変化系のマテリアの効果を武器や防具にはりつけるためのものだ
For example, equip Added Effect + Poison to your weapon and select [Attack]. Sometimes you'll make a Poison attack.	例えば、【追加効果】＋【毒】を武器につければ『たたかう』で攻撃したときに追加効果として【毒】のステータス異常をひきおこすことが可能だ。
Of course, it doesn't always work.	もちろん、成功しないときもあるがな
If you don't combine the Added Effect Materia with Status Change Materia, like Confusion or Time, you won't get any effect.	【追加効果】のマテリアは【まどわす】や【時間】などステータス変化系のマテリアと組み合わせなければ意味がない
To learn more about Added Effect, access the menu and check the Status.	追加効果を細かく知りたければ『メニュー』を開いて『ステータス』をチェックしろ
It's a little hard to get, but if you take your time, you'll be all right.	内容はハードだが落ちついて考えれば、だいじょうぶだ
Division… I'm pretty good at this.	ぶんれつか…。俺もこれが得意だな
People tell me that my personality is divided. But I don't think so, but maybe it is?	俺は、よく性格がぶんれつしてるといわれる。自分ではそのつもりはないがあるいは、いまもそうかもしれないな…
Anyhow…	話を元にもどそう
Once your Materia reaches the maximum level, it will divide.	マテリアは最高ＬＶにたっするとぶんれつする。
The original Materia will no longer grow. Once that happens, all you can do is use it as it is.	元のマテリアは、もうそれ以上成長しなくなる。そうなったら、後はただ使うだけだ
New Materia always starts out with zero AP, so you need to raise its levels!	新たに生まれたマテリアはＡＰが０の状態なのでこちらは、育てなければならない
Of course, once the new Materia reaches its max, it'll divide. That's how you increase your Materia collection.	もちろん、ぶんれつして生まれたマテリアも最高レベルにたっするとまたぶんれつする。こうしてマテリアを増やしてゆくんだな
Ha, ha… Right now I feel like I'm dividing myself.	クックックッ……なんだか、俺もすっかりぶんれつ気分だよ
Once Materia starts dividing, you must be careful.	ぶんれつしてマテリアがふえはじめたら注意が必要だ
There's a limit to how much Materia you can have.	マテリアのもてる数には制限がある
Since we're fighting for the life of the Planet, it goes against my beliefs to carry too much Materia.	なぜなら、俺たちは、名目上星の命を守るために戦っている。故に、マテリアの持ちすぎは理念に反してる
Either way, I don't really care but, I'll leave it up to you.	……もちろん、これは俺の考えじゃない。だれが言い出したかは想像に任せるよ
That's why, the amount of Materia that we can have is limited to 200… only what we can equip.	というわけで、もてるマテリアの数は２００個と俺たちが身につけている分だけだ
When you have too much Materia, you need to dispose of some. If you don't, you can't take on any more.	マテリアがいっぱいの時は一度マテリアを手放してからでないとひろうこともできないし、買うこともできない
So, ditch some Materia before that happens… Ahem…I mean, give them back to the Planet.	そんなときは、先にマテリアをすてる…。フッ……星に帰してやってくれ
OK. Expert! Enlighten us on Limit Techniques, why doncha?	上級者さん！リミット技について演説をひとつどうぞ！
I don't have too much to say about that…	あまりないがな……
Developing Limits	リミットの育て方
Extreme Limits	リミット究極技
That's it	こんなところだ
There are 2 basic ways of building up your Limit techniques. First, just use them!	リミット技を育てる基本は、２つ。まずひとつは、ひたすらリミット技を使うことだ
And second is to finish off as many enemies as possible! It sounds easier than it is.	もうひとつは、より多くの敵にとどめをさす！かんたんそうだが、意外とむずかしい
Everyone knows that when you gain a new Limit technique, you need to select it in the menu.	もはや常識だが、新たなレベルのリミット技を覚えたら、メニューでリミットレベルをセットしなおさなければならない
And you know that you won't be able to use advanced techniques on each level if you haven't used the basic ones.	……まさか、わすれてないだろうな。各レベルの上級技はそのレベルの基本技を使っていないとあみだすことはできないからな
Since the type and growth for each limit techniques is different, that's about all I will say.	リミット技の成長・種類には、個人差があるから俺に言えることはこれくらいだ
A long time ago I heard extreme techniques exist within the Limit techniques.	昔の話だが、うわさを聞いたことがある。リミット技には、究極の技が存在するという
But, if that's true you wouldn't be able to get it in any normal way. That's about all I know about it.	だが、これはふつうの方法では使えるようにならない。俺の知っているのは、そこまでだ
Received "Enemy Skill" Materia!	『てきのわざ』のマテリアを手にいれた！
Junon Path	ジュノン・通路
What is it? The elevator's out of order for an inspection.	なんだい？いま、定期点検中なんでエレベーターは動かせないよ
You know, right under us is a Submarine Dock and the Underwater Mako Reactor.	ちなみに……この下には潜水監ドッグと海底魔晄炉があるんだけどね
Mako energy puts a lot of wear and tear on the machinery.	魔晄エネルギーは機械のしょうもうがはげしいからね
A lot of problems can pop up. So it's necessary for close inspections and maintenance.	あちこちガタがくるのがはやいんだ。まめな点検と整備がかかせないのさ
Hey!! Civilian!! Stay out of our training!!	こりゃ！！　一般人！！くんれんのじゃまをすな～！！
Go around them! And stay out of their way!!	はしっこをちいさくなって進め～！！
All right!! Let's see how hard you trained!	うっし！！くんれんの成果をみせちゃれ！
Attention! Charge!!	全員、とっつげき～！！
He…hey!! That's the Underwater Reactor!! Come back!!	こ、こりゃ～！！そっちは、海底魔晄炉！！逃げんな～！！
Our forces are in the process of gathering the Huge Materia from the Corel and the Fort Condor Reactors!	我が友軍は～　現在【コレル魔晄炉】と～【コンドルフォート魔晄炉】の～ヒュージマテリア回収大作戦を実行中だ！
Once these two missions are completed, the Underwater Reactor will be our next target!	その２つのミッションが終われば次はここの地下の海底魔晄炉が大作戦の対象にな～る
Till then, we do nothing but train, train, train!	それまでは、いっしょうけんめいくんれん、くんれん、くんれんだ！
Lower Junon	エルジュノン
Oh! How's it going!? If you're looking for Junon dock, it's over there!	よう！　おつかれさん！ジュノンドックならあっちだぜ！
This lift goes to the Shinra section.	このリフトは上の神羅カンパニー区画につながってんだが……
Ever since that Black-caped murderer… But we can't use it because we're all on red alert.	例の黒マント男の殺人事件があったからな。いまは警戒中で自由には使えないんだ
Need a heli-taxi? Only in Junon!	ジュノン名物！！スキッフタクシーはいかが？
Free to Air Force personnel!	空軍のサービス事業なんでお代はいらないよ！
Sure	タクシーよぶ
Roger!! Hey! Taxi!!	ラジャ！！へい！　運転手さん！！
Just holler when you want a ride!	乗りたくなったらまた声をかけてよ！
But if you get airsick easily, maybe you'd better not go.	車に酔いやすい人はやめたほうがいいかもね
Where to?	お客さん、どこまでいきやしょ？
Next sector	となり町まで
Outside Junon	ジュノンの外まで
Right! The next sector it is!!	では、となり町までおたっしゃで！！
Then outside Junon it is! Take care!!	では、町の外までおたっしゃで！！
Junon Dock	ジュノン港
All right, it's time!	よーし、時間だっ！
Ten…HUT!	整列っ～！
President Rufus…has now arrived!	ルーファウス……様、到着よ！
This is it!! Junon Military Reception!	いざっ本番！！ジュノン軍隊式お見送り～！
Do it right! Do it with enthusiasm! Ready…!	軍人らし～く　元気よ～くさんはいっ！
All right! Now finish strong!!	すわっ！最後は決めるぞ！！
[OK]!	○：サークル！
[MENU]!	△：トライアングル！
[SWITCH]!	□：スクウェア！
[CANCEL]!	×：クロス！
President's Mood Gauge	社長好感度
Very entertaining. Keep up the good work.	楽しませてもらった。今後もがんばってくれたまえ
Looks like you need more practice.	くんれんがたりんようだな
With things looking this bad, you better get ready for cutbacks.	このせいせきでは、減給もありうると思ってくれたまえ
Keep up the good work for Shinra, Inc.	今後も我が神羅カンパニーのため全力をつくしてもらいたい
Gya haa ha!! Here's a special bonus for you!!	ガハハハハハ！！特別ボーナスだぞ、おまえら！！
A token of the President's kindness! Don't forget it!	ルーファウス社長のご好意だ！きもに命じとけ！
Received "Force Stealer"!	『フォースイーター』を手にいれた！
Received "HP Plus" Materia!	『ＨＰアップ』のマテリアを手にいれた！
Received "Silver Glasses"!	『銀縁メガネ』を手にいれた！
Once the word gets out that Sephiroth's here, CLOUD and his friends will show up, too.	セフィロスがここに来たというウワサがひろまればCLOUDたちもあらわれるはずだ
We'll crush them as soon as we find them!	みつけしだいヒネリつぶします！
We can't have them get in our way.	邪魔をされてはかなわんからな
Leave it up to me, sir! Gya haa ha!	おまかせ下さい！ガハハハハハハ！
I thought I told you to stop that stupid laugh.	やめろと言ったはずだが……
All right! Dismissed!	よーしっ！　解散！
That was close.	あぶなかったな
Because Hojo disappeared, leaving a letter of resignation.	なんでも本社の宝条が会社をやめると言い残して行方不明になったらしいんだ
Heidegger's been forced to take over that investigation, too.	ハイデッカーはその捜索もまかされたらしいからな
Hey! I thought you were dismissed!	こらーっ！解散だと言っとろうが～！
We got some cleaning up to do! Hurry up!	あとかたづけがのこっちょる！はよせいよ！
Hey, hurry. You're the last one.	おい、急げ。あとはおまえだけだ
How did you get here?	どうやって来たんだ？
A dolphin gave me a ride.	イルカに乗せてもらった
Priscilla remembered it after you climbed the pole. But don't be mad at her.	おまえが柱をのぼったあとプリシラが思いついたんだ。悪く思うな
We'll cross the ocean, to the new continent.	俺たちは新たな大陸に向け、海を渡る
…even if we are wearing Shinra's uniforms…	神羅の軍服につつまれながら……
Lately the economy seems to be improving. Must be the 'Rufus' effect.	最近、ルーファウス効果ってやつで景気がよくなってね
Cargo ships are always coming and going from Costa del Sol.	運搬船はいつでもコスタ・デル・ソルに出航してるんだ
I'll forget you're being stowaways, if you help with the cargo.	密航者もおおめに見てやるけどにもつ運びぐらいは手伝えよな
Everyday there's no ship coming in, I always come here to watch the sun go down.	船が港にない日にはいつもここで海に沈む太陽を見てるんだ
The sun disappears like it's being swallowed up by the big horizon.	大きな海原につつまれるように消えていく太陽
And somewhere out there is a big unknown continent with another port city.	その先に広がる未知の大陸。そして、そこにもまた港街さ
Twilight always gets me misty…	こんなたそがれ時にはしみじみ思っちゃうわけよ
I'm so glad I became a seaman.	海の男になってよかったなあ、と
I haven't had a girlfriend in 18 years. And I'm a romantic! …geez.	ロマンチストのこの俺も今年で彼女いない歴１８年。……ふぅ
Well…I wouldn't have time for one now anyway because of Weapon…	あっ！　いまはウェポン騒動でそれどころじゃないんだけどね
Cargo Ship	運搬船
Urrrgh… This is why…I hate ships.	ウ～……これだから……船はイヤなんだ
Hey, CLOUD. You have any 'Tranquilizers'?	ちょっとCLOUD。『鎮静剤』持ってないの？
Here, use this	ホラ、使えよ
Nope	ないね
Thanks… Gross…this is bitter.	ありがと……うえ～、にがい
…Unless it's an emergency get away from me.	……用がないなら向こう行っててよ
Ugh, you don't have any?	チェッ、持ってないじゃないか
Where are the others?	他のれんちゅう？
I dunno. Aren't they hiding somewhere around here?	さあ、そのへんにかくれてんじゃないの？
How should I know…?  Ugh…urk…	そんなのアタシが知ってるわけ……ウ……プ……
…the Engine Room… …a suspicious…character…	……機関室に……不審……人物……
No…there's no way… that…not a human… That thing's not human.	いや……ちが……う……あれ……人間じゃ……人間なんかじゃ……な……
Hey, get to work!	コラ、きさまもキリキリはたらかんか！
Both the new President Rufus and Heidegger are aboard this ship!	いま、この船にはルーファウス新社長と本社のハイデッガー統括が乗船されている！
If we do good, we could get promoted!	うまくすれば昇進のチャンスだぞ！
Umm…It's me AERIS.	フフフ……わたし。AERISよ
Hey, CLOUD. Did you see the Airship at Junon?	ね、CLOUD。ジュノンで飛空艇、見た？
…I heard it was big, but I didn't expect it to be THAT big.	……ウワサには聞いていたけどあれほど大きいとは思ってなかったな
That was REALLY something.	すっごいよね～
Hey, do you think I could get on it?	ね、わたし、あれにのれるかな？
I'll take you someday	いつか俺がのせてやるよ
I dunno…	さあな……
…It's a Shinra weapon. We probably should've destroyed it.	……あれは神羅の兵器だ。破壊しといたほうが良かったかもな
…Hmm. But just once, I'd like to ride it.	……そっかぁ。でも、一回でいいからのりたいなぁ
Just once, I'd like to ride that Airship.	一回でいいからのってみたいなぁ、飛空艇
…Keep hoping.	……期待しててくれ
Wow! I'm really looking forward to it!	うわ～！楽しみにしてるからね！
Let's ride the Airship together, OK? Promise, promise me!	一練にのろうね、飛空艇。約束、約束！
Hey, CLOUD. Did you see BARRET?	ね、CLOUD。BARRET見なかった？
I hope he's not doing anything stupid…	ムチャなこと、ひとりでしてなきゃいいけど……
It won't do any good trying to stop me!	オレを止めてもムダだぜ！
All right! I'm going to show the new President what I'm made of!	ヨッシャ、新社長にいいトコ見せたるぞ～！
Geez… What chance for a promotion.	フン……なにが昇進のチャンスだよ
The only one who's gonna benefit from this is the Chief, anyway.	どうせトクするのはあそこのチーフだけ
It has nothing to do with us workers.	オレたちみたいなヒラには関係ない話さ
I'm workin' hard already, and you still want me to do more?	これだけ働いてるのにまだ働けってのか？
The new President's probably the same. He's just gonna order us around anyway.	新社長だってどうせ同じだろ。上からアレコレ命令するだけさ
Put back the "All" Materia…	マテリア『ぜんたいか』をもとにもどした……
Look, CLOUD. It's Rufus and Heidegger.	見ろよ、CLOUD。ルーファウスとハイデッカーだぜ
They're this close but we can't do a thing to 'em…	こんな近くにいるってのに手が出せねえなんて……
Ummmm… Gmmmmm…	ウヌヌ……グヌヌヌ……
How can he… Goin' off laughin' like that?	なんだあのヤロ……のんきにガハガハガハガハ笑いやがって……
Because of him, Biggs, Wedge, Jessie…	あいつらのせいでビッグスは……ウェッジは……ジェシーは……！
Ggggggggh… Ggggh… Ggggggghhh!!	ウヌヌ……グヌヌヌ……！グヌヌヌヌ……！！
God!! I can't take it anymore!	ガ～ッ！！ガマンできねえぜ！
I'm gonna settle things here and now!	いっそのこと、ここで一気にカタをつけ……
Emergency alert! Reports of a stowaway found! Those not on detail, search the ship. Report when found!	緊急連絡！不審人物を発見の報告アリ！作業のない各員は監内を調査。発見しだい通報のこと！
I repeat… Stowaway sighted on board! Those not on detail, search the ship. Report when found!	くりかえす。不審人物を発見の報告アリ！作業のない各員は監内を調査。発見しだい通報のこと！
Damn, did they find us!?	しまった、見つかったか！？
Hmm, I don't think it's us. Did they find TIFA and the others!?	いや、オレたちじゃねえようだ。となると……TIFAたちか！？
Get off your spikey butt and let's go, CLOUD!	こうしちゃいられねえ。行こうぜ、CLOUD！
Yes sir! Everything quiet, sir!	ハッ！イジョウなしであります。ソルジャーどの！
…But, you know what? I really hate this uniform.	……でも、ホントはね。こんな軍服キライ
Uniforms, soldiers, war, I hate 'em all.	軍服も、兵隊も、戦争もみんなみんなキライ
They take away all the things and people you love…	大切なものを、大切な人をみんなからうばってしまうから……
I wish they'd all disappear. Right, CLOUD?	はやく、なくなるといいね。ね、CLOUD？
I don't know	どうかな
You're right!	うん、そうだよね！
Uh, yes sir, I'll continue my watch sir!  Hee hee…	それでは、はりきって見張りをつづけるであります！フフフ……
…CLOUD. Wearing those clothes seems to have changed you a little.	……CLOUD。その服を着たらすこしかわったみたい
Does it remind you of being in SOLDIER? I hope not…	気持ちまでソルジャーにもどっちゃったの……？そんなのイヤだよ……
Hey! What's wrong, kid? You got no pep!	オウオウ！どうしたい若いの！元気がねえぞ！
A seaman's gotta have umph!	海の男はガッツだ、ガッツ！
I'm tired…	つかれたんだ……
Something's missing	なにか物足りないんだ
Leave me alone	ほっといてくれ
Say, who are you? You're not a part of the crew.	ん、何だお前？この船のクルーじゃねえな？
Oh well, seamen never bother with details!	まあいいか、海の男はこまかいことを気にしねえのよ！
How you feelin'!	調子はどうだ、若いの！
Ey ey! Whattaya mean, 'missin'!?	オウオウ！なにが足りないんだ！？
I got just the perfect thing! Invisible Alpha'-- A super drink for seamen!!	そういう時はコイツ！海の男のスーパードリンク『インビンシブルα』！！
Just one'll rejuvenate you! Only 250 gil!	コレ１本でビンビンよ！２５０ギルだ！
I'll take it	もらおうか
No thanks	けっこうだ
Thanks! This is a necessity for a sailor.	まいど！コイツは船乗りにかかせねえ品だぜ
This is a must item for a sailor! Ha ha ha !	船乗りだけにこれがホントのマストアイテム！ワッハッハッハ！
Thanks! Now let's get on with it!	まいど！コイツでガンガンつきすすもうぜ
This is the only real ecstasy you can get on this ship! Ha ha ha!	船の上だけにこれがホントのシップーどとう！ワッハッハッハ！
HP/MP Restored!	ＨＰ・ＭＰが回復した！
Hey! Seamen shouldn't be so stingy!	オウオウ！海の男がケチケチすんない！
President Rufus and his men are in the Bridge of the Ship. If they see you slacking, they'll bust you one!	ルーファウス社長たちは監橋にいるらしい。サボってるとドヤされるぜ！
… …It's me. RED XIII.	………………私だ。RED XIIIだ
I'm a little woozy, but I shouldn't get caught.	ちょっとフラフラするがなに、バレることはないだろう
Humans only look at appearances anyway.	人間というものはたいてい、ものごとのそとがわしか見ないからな
Anyway you look at it, I'd say I make a fine human being.	この服を着るだけでどこから見ても立派な人間だろう？
It's pretty hard standing on two feet…	二本足で立つのもむずかしいものだな……
Oh man, we're almost to Costa del Sol.	やれやれ、もう少しでコスタ・デル・ソルか……
When I get there, I'm going to take a long overdue vacation. Maybe I'll go down to the beach and get a tan…	向こうについたらひさしぶりの休みだ。ビーチで体をやこうかな……
Hey! You don't have enough money!	オウオウ！金が足りないよ！
You all right!?	だいじょうぶか！？
Everyone all right!?	みんなだいじょうぶ！？
Huh?	あれ？
Hey, wait.	待てよオイ
You don't think that suspicious stowaway is…	てことは不審人物ってのはまさか……
Everyone's here…right?	みんないる……わね
Sephiroth!?	セフィロス！？
Really!?	本当なの！？
How the hell am I supposed to know!?	オレだってわからねえよ！
…Let's find out.	……確かめよう
It's the most logical thing to do.  Then, who's going to go?	それがもっとも論理的な行動だな。さて、誰が行く？
N, not me…	ア、アタシはいいよ、べつに
I don't even like Sephiroth anyway. And besid…ugh…urk…	セフィロスとかって興味ないし。それに……ウ……ウプ……
… Sephiroth…	…………セフィロスが……
…All right, let's go!	……よし、行こう！
I'm goin' too!	おう、オレも行くぜ！
Is it really Sephiroth…?	ホントにセフィロス……なの？
Take me with you!	私も連れていって！
These clothes are too tight on me. Can I switch with you?	この服はきゅうくつだ。できればそっちに加わりたい
I told you…I don't want… to, ugh…urk…	だからアタシはいいって……ウ……ウエ……
Access the Menu and select	メニューを開いてセーブを選ぶと
Cargo Ship	運搬船・機関室
Received "Wind Slash"!	『風斬り』を手にいれた！
Is it…Sephiroth?	セフィロス……なのか？
No…not Sephiroth!	ちがう……セフィロスじゃない！
…After a long sleep…	……長き眠りをへて……
…the time…	……時は……
…time has…come…	時は……満ちた……
Look, CLOUD!!	見ろCLOUD！！
Look, CLOUD!!	見て、CLOUD！！
CLOUD, look!!	CLOUD、あれ！！
Over there, CLOUD.	あそこだ、CLOUD
Ov…over there!!	あ……あれ、あそこ！！
Sephiroth! You're alive!	セフィロス！生きていたんだな！
…Who are you?	…………だれだ
You don't remember me!? I'm CLOUD!	俺を忘れたっていうのか！俺はCLOUDだ！
Sephiroth! What are you thinking!? What are you doing!?	セフィロス！　何を考えている！何をするつもりだ！
…The time…is now…	……時は……満ちた……
What!? What are you saying!? Be more…	何！？　何を言ってるんだ！？もっと……
I've seen this somewhere…before.	これ……どこかで見たわね
I've seen this before…	これ、見たことあるね……
Isn't he…that guy?	こいつは……アレじゃねえのか？
That's what disappeared from the Shinra building…	これは神羅ビルから消えた……
Eeeew! What IS it! GROSS!	なんだよ、これ！　気持ちワルイ！
…Jenova. The arm of Jenova.	……ジェノバだ。ジェノバの腕だ
Jenova…You mean he's been walkin' around with that thing?	ジェノバを……こんなものを持ち歩いているのか？
Jenova… With this thing?	ジェノバ……こんなのと、いっしょに？
Jenova… He's been carrying this thing around?	ジェノバ……こんなものを持ち歩いていたの？
Sephiroth took Jenova… What does it mean?	セフィロスがジェノバを持ちだした……その意味は？
Gag… I'm sick enough as it is without you having to show me THAT!	ウエ……ただでさえキモチわるいのにこんなもん見せられるなんて……
So it WAS Sephiroth.	やっぱりセフィロスだった
He said something about it being time for something.	時は満ちた、とか言ってたわね
The time is now… I think that was what was said.	時は満ちた……そんなこと言ってたね
He said the time is now.	時は満ちたとか言ってやがったぜ
The time is now? What does that mean?	時は満ちた……どういう意味だ？
He was mumbling something about time!	なんかブツブツ言ってたよ。時は満ちた、だってさ！
…Time…is now?	……時は……満ちた？
Dock workers--We will be docking in Costa del Sol in 5 minutes. Prepare for docking.	接岸作業員コスタ・デル・ソル入港５分前接岸準備を開始せよ
I don't know WHAT the hell's goin' on!	ワケがわかんねえぜ！
CLOUD, why don't you explain to me what's happened so far?	CLOUD、ちょっとここまでを整理してくれねえか？
No way	めんどくさい
Hmm… I don't get it.	う～ん……わからない
Hey, CLOUD. Can you explain it to us?	ねえCLOUD。ちょっとまとめて、ね？
Too much trouble	めんどうくさい
I'm getting so confused…	こんがらがってきちゃった……
CLOUD, explain what's happened so far.	CLOUD、今までのところをまとめてみてよ
Hmm… The story's not that simple.	フム……話はさほど単純ではなさそうだ。
CLOUD, why don't you summarize what's happened so far?	CLOUD、このあたりで一度考えをまとめてみては？
So what's the story?	いったいなにがどーしてどれがどーなってんの？
Hey CLOUD. Give us a quick run down.	ちょっとCLOUD。アンタ、チョチョッと説明してよ
…I'll try, but don't interrupt me while I'm explaining.	……やってみるから途中で口をはさまないでくれよ
Sephiroth went off searching for the Promised Land, so he could become the ruler of the Planet… That was 5 years ago.	セフィロスはこの星の支配者になるために約束の地を目指すと言い残し姿を消した……それが５年前だ
Then Sephiroth came back and killed President Shinra.	そのセフィロスが現れプレジデント神羅を殺した
And then just now all of us saw Sephiroth.	俺たちはたったいまセフィロスと会った
