Under Junon	アンダージュノン
[OK]!	○：サークル！
[MENU]!	△：トライアングル！
[SWITCH]!	□：スクウェア！
[CANCEL]!	×：クロス！
Right: Right Face!	右：ライトターン！
Left: Left Face!	左：レフトターン！
President's Mood Gauge	社長好感度
Very entertaining. Keep up the good work.	楽しませてもらった。今後もがんばってくれたまえ
Looks like you need more practice.	くんれんがたりんようだな
With things looking this bad, you better get ready for cutbacks.	このせいせきでは、減給もありうると思ってくれたまえ
Well done.	上出来だ
Keep up the good work for Shinra, Inc.	今後も我が神羅カンパニーのため全力をつくしてもらいたい
Gya haa ha!! Here's a special bonus for you!!	ガハハハハハ！！特別ボーナスだぞ、おまえら！！
A token of the President's kindness! Don't forget it!	ルーファウス社長のご好意だ！きもに命じとけ！
Received "Force Stealer"!	『フォースイーター』を手にいれた！
Received "HP Plus" Materia!	『ＨＰアップ』のマテリアを手にいれた！
Received "Silver Glasses"!	『銀縁メガネ』を手にいれた！
Once the word gets out that Sephiroth's here, CLOUD and his friends will show up, too.	セフィロスがここに来たというウワサがひろまればCLOUDたちもあらわれるはずだ
We'll crush them as soon as we find them!	みつけしだいヒネリつぶします！
We can't have them get in our way.	邪魔をされてはかなわんからな
Leave it up to me, sir! Gya haa ha!	おまかせ下さい！ガハハハハハハ！
I thought I told you to stop that stupid laugh.	やめろと言ったはずだが……
All right! Dismissed!	よーしっ！　解散！
That was close.	あぶなかったな
Heidegger's been really edgy lately.	ハイデッカーはイライラしてるからな
Because Hojo disappeared, leaving a letter of resignation.	なんでも本社の宝条が会社をやめると言い残して行方不明になったらしいんだ
Heidegger's been forced to take over that investigation, too.	ハイデッカーはその捜索もまかされたらしいからな
Hey! I thought you were dismissed!	こらーっ！解散だと言っとろうが～！
We got some cleaning up to do! Hurry up!	あとかたづけがのこっちょる！はよせいよ！
Hey, hurry. You're the last one.	おい、急げ。あとはおまえだけだ
How did you get here?	どうやって来たんだ？
A dolphin gave me a ride.	イルカに乗せてもらった
Priscilla remembered it after you climbed the pole. But don't be mad at her.	おまえが柱をのぼったあとプリシラが思いついたんだ。悪く思うな
We'll cross the ocean, to the new continent.	俺たちは新たな大陸に向け、海を渡る
…even if we are wearing Shinra's uniforms…	神羅の軍服につつまれながら……
Lately the economy seems to be improving. Must be the 'Rufus' effect.	最近、ルーファウス効果ってやつで景気がよくなってね
Cargo ships are always coming and going from Costa del Sol.	運搬船はいつでもコスタ・デル・ソルに出航してるんだ
I'll forget you're being stowaways, if you help with the cargo.	密航者もおおめに見てやるけどにもつ運びぐらいは手伝えよな
Everyday there's no ship coming in, I always come here to watch the sun go down.	船が港にない日にはいつもここで海に沈む太陽を見てるんだ
The sun disappears like it's being swallowed up by the big horizon.	大きな海原につつまれるように消えていく太陽
And somewhere out there is a big unknown continent with another port city.	その先に広がる未知の大陸。そして、そこにもまた港街さ
Twilight always gets me misty…	こんなたそがれ時にはしみじみ思っちゃうわけよ
I'm so glad I became a seaman.	海の男になってよかったなあ、と
I haven't had a girlfriend in 18 years. And I'm a romantic! …geez.	ロマンチストのこの俺も今年で彼女いない歴１８年。……ふぅ
Well…I wouldn't have time for one now anyway because of Weapon…	あっ！　いまはウェポン騒動でそれどころじゃないんだけどね
