CLOUD never came.	CLOUDさんこなかったっすね
Wind Calls up the winds. Works well on flying enemies.	風　　大気の風をよびおこす。飛んでるヤツにきく。
Holy Calls up the Planet's power. Works well on dark monsters.	聖　　星の力をよびおこす。暗黒のモンスターにきく。
If you use reciprocal elementals in your attacks, the effect is huge!	相反する【属性】を攻撃に使用することで大きな効果を得られる
Also, if you use the same elemental, your defenses are raised. But, you have to be careful because the opposite is also true.	また、同じ属性なら防御の効率があがる。だが……逆もまた真なり。気をつけることだな
To see what elementals an enemy has, you need [Sense] Materia. If you get that Materia, you should try using it.	敵のもっている【属性】をみぬくためには【みやぶる】ことが必要だ。マテリアを手にいれたら、使ってみてくれ
……smack……knock……!!	ポカポカポカポカ……！！
Help!	たしゅけて～！
You've got to hang in there. Your limit gauge is just starting to build.	そこでがまんだ。おまえの【リミットゲージ】はたまりはじめている
Waaaah!!	びえ～ん！！
OK! Now your limit gauge is full, go ahead and use it! Fight with your limit technique.	よしっ、【リミットゲージ】はいっぱいだ！えんりょはいらない。【リミット技】で勝負だ！
Magic!! Magic!!	まほう！！まほう！！
Calm down! When your enemy uses magic counter with [Magic Barrier] or [reflect].	おちつけ！相手が魔法を使うときには【マバリア】か【リフレク】で対抗するのだ
[Magic Barrier] reduces the damage received from magic by half.	【マバリア】は魔法のダメージを半分にする魔法だ
[reflect] bounces the attacks off you. But the number of times you can use it is limited so be careful.	【リフレク】は魔法をはねかえすがはねかえす回数に制限があるから気をつけろ
Wow! You sure are strong! I'm going to be strong, too !	さっすが、元ソルジャ！どちたら、強くなるの～！
Me too!	なるの～！
If you want to get as strong as me you need to use Materia. And you have to find the best combinations of them.	俺みたいに強くなりたければマテリアを効率よく育て最適な組み合わせをさがすことだな
The type of Materia you put in your weapons and armor will determine how quickly your Materia grows.	装備する武器や防具のしゅるいによってマテリアの成長のスピードはちがう
Put Materia into the open slots in your weapons and armor. The possible combinations are limitless.	武器や防具にあいている穴の形によってマテリアの組み合わせは無限に広がる
That's about all I can tell you. If you want to be like me, you have to have some natural talent.	俺にアドバイスできるのはそのくらいのことだ。もっとも生まれついた素質がなければ俺のようにはなれんがな
I still don't get it!	わかんな～い！
Listen kids, don't piss me off!	俺を怒らせるな！
That's all right. Just give it a try. Little by little, you'll get used to it.	大丈夫だ、まずはやってみろ。そのうち、なれてしまう
Great!	上出来だ
How to use the buttons.	『基本的なボタン操作方法』
[Directional button][CONTROL]	【方向キー】　　　　　　【ボタン】
up [MENU]: menu	上　　　　　　　　　　　△：メニュー
leftright: walk  [OK]: speak/execute	左　　　右：歩く　　　□　　○：話す／決定
down [CANCEL]: run	下　　　　　　　　　　　×：走る／取り消し
[PAGEUP]/[PAGEDOWN]: turn.	Ｌ１／Ｒ１ボタン：チョコッとまがる
[How to restart]	『ソフトリセット方法』
You must quit the game in order to restart.	Ｌ１＆Ｌ２＆Ｒ１＆Ｒ２＆セレクト＆スタート
To quit the game, either select QUIT	以上のボタンを同時に押すとリセットがかかります。
in the Main Menu or press CTRL+Q.	（フィールド上のみ有効）
Huh? Finger!? What the hell?	ん？　指！？なんだ、おまえ？
I'm the position cursor!! Call me whenever you're walking around confused!	ボク、【ポジションカーソル】！！歩いている時、迷ったらボクを呼び出して！
Push [ASSIST] and I'll appear over your shiny little head.	セレクトボタンを押せばボクが君のツンツン頭のうえにつきまとうよ
Geez, you stand out even more than I do…	俺より目立つな……
Am I in the way? If so, just push [ASSIST] one more time.	ボクがじゃまかい？そんなときはもう一度セレクトボタンを押してね
I'm pretty busy myself, and can't always come when you need me. If I don't show up sometimes, don't get mad.	それから、ボクはこう見えてもけっこういそがしいからいつでも登場はできないんだ。でてこなくても怒らないで！
Later!	それじゃね、バイバ～イ！
[Position Cursor]	【ポジションカーソル】
Push [ASSIST] when you're lost in the field. Usually, the [Position Cursor] will appear on the screen.	フィールドで迷ったときにはセレクトボタンを押してください。ポジションカーソルが表示されます。
But wait!!	さらに！！
[Red triangles] mark the exits and [Green triangles] mark ladders.	入口をあらわす『赤サンカク』とはしごなどをあらわす『緑サンカク』も表示されます。
These will help you safely make it through even the darkest streets or dangerous mountains! But, there are times when they won't appear, so be careful.	これで、暗い夜道も険しい山道もご安心！なお、フィールドによっては表示されないことがあります。御注意ください。
Johnny's Home	ジョニーの家
Ha, Ha!…… Well, there's nothin' wrong with that, I'd say.	ハッハッ……。まあ、それもいいでしょうなあ
Ha!  Ha!…… I wonder if my son's already left?	ハッハッ……。息子はもう旅立ちましたかな？
When it's just my wife and I here, you have no idea how lonesome it gets.	こうして家内と私、二人きりになってみるといやはや、さびしいものですなあ
We want him to be happy and do other things while he's young, but we can't help but worry…	ハッハッ……　若いうちはね好きなことをやらせてみようと思っていてもやっぱり心配なのは、いけませんなあ
I guess we always will.	親として修行がたりませんなあ
By the way……	ところで、あなた
Where are you from?	故郷はおありですかな？
A village called Nibelheim	ニブルヘイムという村だ……
Who cares?	そんな面倒なものはすてたさ
But if you still have a family, you outta at least write them.	でも、もし、あなたにも家族がおありなら手紙ぐらい書いてあげるのが、いいですなあ
You may leave your home, but it'll always be there for you.	故郷はね、知らんぷりをしていてもいつでも、あなたを待ってますよ
At least that's how I see it.	ハッハッ……まあ、そんなもんですなあ
Hmm…did you say Nibelheim? Wasn't it in the news a while back?	ほう……あのニブルヘイム村ですか。ほら、何年か前にニュースになったことがありましたなあ
Something to do with a reactor accident…	あのときは、たしか……魔晄炉の事故でしたか
That was the first major Mako accident, I remember it was all over the news.	当時は、最初の大きな魔晄炉事故ということですいぶん話題になりましたなあ
This might sound rude, but…	ハッハッ……ぶしつけな質問ですが
Is your family still living?	ご家族は健在ですかな？
I forgot about them long ago	いたとしても忘れたな
I'm just an ex-SOLDIER	俺は孤独なソルジャーだ
Well, you really outta go home again. And if you can't do that, try and at least remember them sometimes.	ハッハッ……。まあ、たまには帰ってあげなさい。それができないならときどき思い出すのがよろしい
Our boy acted like you, When he was a kid.	ハッハッ……。私も若いころはそんな風にかっこつけたこともありましたよ
You seem to be about his age.	ハッハッ……あなたは、まだそんな年ごろかな
Well, would you mind leaving us alone?	ハッハッ……。そろそろ、二人っきりにしてくれませんか
I want to enjoy some quiet time together with my wife.	家内と二人きりの時間というのをね。しみじみすごしたいのですよ
He used to give us nothing but headaches when he was here, but now that he's gone…we kind of miss him. …Strange, isn't it?	あんな子でもいなくなってみるとね。なんだか、落ちつかなくて。……不思議なものね
